sppid,species,scinam,ndet,modelN,modelS,AOU,oldforest,native,General.Habitat.Category.Bog,General.Habitat.Category.WetAq,Wetland.Types.Wet_NestTerrOrWet,Wetland.Types.Aq_NestTerrOrWet,order,FINAL
AlderFlycatcher,Alder Flycatcher,Empidonax alnorum,6929,TRUE,TRUE,ALFL,0,1,0,0,0,0,PASSERIFORMES,Upland & Riparian
AmericanAvocet,American Avocet,Recurvirostra americana,407,TRUE,TRUE,AMAV,0,1,0,1,1,0,CHARADRIIFORMES,Lowland
AmericanBittern,American Bittern,Botaurus lentiginosus,351,TRUE,TRUE,AMBI,0,1,0,1,1,0,CICONIIFORMES,Lowland
AmericanCoot,American Coot,Fulica americana,2164,TRUE,TRUE,AMCO,0,1,0,1,1,0,GRUIFORMES,Lowland
AmericanCrow,American Crow,Corvus brachyrhynchos,20225,TRUE,TRUE,AMCR,0,1,0,0,0,0,PASSERIFORMES,Upland
AmericanGoldfinch,American Goldfinch,Spinus tristis,3298,TRUE,TRUE,AMGO,0,1,0,0,0,0,PASSERIFORMES,Upland
AmericanKestrel,American Kestrel,Falco sparverius,617,TRUE,TRUE,AMKE,0,1,0,0,0,0,FALCONIFORMES,Upland
AmericanRedstart,American Redstart,Setophaga ruticilla,3269,TRUE,TRUE,AMRE,0,1,0,0,0,0,PASSERIFORMES,Upland
AmericanRobin,American Robin,Turdus migratorius,22881,TRUE,TRUE,AMRO,0,1,0,0,0,0,PASSERIFORMES,Upland
AmericanWigeon,American Wigeon,Anas americana,1305,TRUE,TRUE,AMWI,0,1,0,1,1,0,ANSERIFORMES,Open water
AmericanThreetoedWoodpecker,American Three-toed Woodpecker,Picoides dorsalis,200,TRUE,FALSE,ATTW,0,1,0,0,0,0,PICIFORMES,Upland
AmericanWhitePelican,American White Pelican,Pelecanus erythrorhynchos,192,TRUE,TRUE,AWPE,0,1,0,1,0,1,PELECANIFORMES,Open water
BairdsSparrow,Baird's Sparrow,Ammodramus bairdii,2196,TRUE,TRUE,BAIS,0,1,0,0,0,0,PASSERIFORMES,Upland
BankSwallow,Bank Swallow,Riparia riparia,355,TRUE,TRUE,BANS,0,1,0,1,0,1,PASSERIFORMES,Lowland
BaltimoreOriole,Baltimore Oriole,Icterus galbula,2282,TRUE,TRUE,BAOR,1,1,0,0,0,0,PASSERIFORMES,Upland & Lowland
BarnSwallow,Barn Swallow,Hirundo rustica,3470,TRUE,TRUE,BARS,0,1,0,0,0,0,PASSERIFORMES,Upland & Lowland
BlackandwhiteWarbler,Black-and-white Warbler,Mniotilta varia,2184,TRUE,TRUE,BAWW,0,1,0,0,0,0,PASSERIFORMES,Upland & Lowland
BlackbilledMagpie,Black-billed Magpie,Pica hudsonia,12342,TRUE,TRUE,BBMA,0,1,0,0,0,0,PASSERIFORMES,Upland
BaybreastedWarbler,Bay-breasted Warbler,Setophaga castanea,1237,TRUE,FALSE,BBWA,1,1,0,0,0,0,PASSERIFORMES,Upland
BlackbackedWoodpecker,Black-backed Woodpecker,Picoides arcticus,117,TRUE,FALSE,BBWO,0,1,0,0,0,0,PICIFORMES,Upland
BlackcappedChickadee,Black-capped Chickadee,Poecile atricapillus,4211,TRUE,TRUE,BCCH,0,1,0,0,0,0,PASSERIFORMES,Upland
BrownheadedCowbird,Brown-headed Cowbird,Molothrus ater,12442,TRUE,TRUE,BHCO,0,1,0,0,0,0,PASSERIFORMES,Upland
BlueheadedVireo,Blue-headed Vireo,Vireo solitarius,2574,TRUE,TRUE,BHVI,1,1,0,0,0,0,PASSERIFORMES,Upland
BlueJay,Blue Jay,Cyanocitta cristata,773,TRUE,TRUE,BLJA,0,1,0,0,0,0,PASSERIFORMES,Upland
BlackpollWarbler,Blackpoll Warbler,Setophaga striata,346,TRUE,FALSE,BLPW,1,1,0,0,0,0,PASSERIFORMES,Upland & Lowland
