HF_GROUP_COMB,HF_GROUP,Category,Type,UseInAnalysis,UseInAnalysisFine,SuccAlien,NonlinLin,UseInReporting,Sector,SectorFine,Description 
UrbanIndustrial,Urban,Urban & Rural & Industrial,Urban ,UrbInd,Urban,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,An industrial building within the boundary of an urban residence.
UrbanResidence,Urban,Urban & Rural & Industrial,Urban ,UrbInd,Urban,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,A polygon was drawn around areas having >100 buildings per quarter section of residential development. Areas within the urban/residential polygons >5ha with natural vegetation were excluded.
RuralResidentialIndustrial,RuralResidentialIndustrial,Urban & Rural & Industrial,Rural (Residential/Industrial) ,UrbInd,Rural,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,Small rural development (confounded with rural industrial development) 
IndustrialSiteRural,IndustrialSiteRural,Urban & Rural & Industrial,Industrial Site Rural ,UrbInd,Industrial,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,Rural area developed for industrial use 
WindGenerationFacility,WindGenerationFacility,Urban & Rural & Industrial,Wind Generation Facility,UrbInd,Industrial,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Energy,Area around the windmill 
OtherDisturbedVegetation,OtherDisturbedVegetation,Urban & Rural & Industrial,Other Disturbed Vegetation ,UrbInd,Industrial,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,"Recreation areas and other vegetated areas created for human use, including golf courses, grave yards, vegetated edges of airports, sometimes along roads and any other disturbed areas that have recovered vegetation "
MineSite,MineSite,Mines ,Mine Site ,Mines,Mines,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Energy,Area where vegetation is disturbed 
PeatMine,PeatMine,Mines ,Peat Mine ,Mines,Mines,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Energy,Area where vegetation is disturbed 
WellSite,WellSite,Wells ,Well Site ,UrbInd,Industrial,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Energy,Well pads created by the energy industry 
Pipeline,Pipeline,Vegetated Linear Industrial Features,Pipeline ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyTrans,Area where vegetation is disturbed 
TransmissionLine,TransmissionLine,Vegetated Linear Industrial Features,Transmission Line ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyTrans,Area where vegetation is disturbed 
SeismicLineNarrow,SeismicLine,Vegetated Linear Industrial Features,Seismic Line ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyTrans,"Can vary in width from 1-4.5 meters, lines are buffered to a total width of 2.5 meters. Only the lines visible from the imagery are included in the dataset."
SeismicLineWide,SeismicLine,Vegetated Linear Industrial Features,Seismic Line ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyTrans,A polygon feature class derived from a 3-meter buffer (6 meter total length) of a pre-low-impact-seismic centerline.
RoadHardSurface,RoadHardSurface,Transportation ,Road-Hard Surface ,HardLin,HardLin,Alien,Lin,Transportation,Transportation,Transportation,Paved or gravel 
RailHardSurface,RailHardSurface,Transportation ,Rail-Hard Surface ,HardLin,HardLin,Alien,Lin,Transportation,Transportation,Transportation,Usually gravel 
RoadTrailVegetated,RoadTrailVegetated,Transportation ,Road/Trail (Vegetated) ,SoftLin,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Road/Trail without gravel or pavement 
RoadVegetatedVerge,RoadVegetatedVerge,Transportation ,Road-Vegetated Verge ,SoftLin,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Vegetated strips along paved/gravel roads 
RailVegetatedVerge,RailVegetatedVerge,Transportation ,Rail-Vegetated Verge ,SoftLin,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Vegetated strips along railways 
CultivationCrop,CultivationCropPastureBareground,Agriculture,Cultivation (Crop) ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,"Agricultural land designated and cultivated for cereal crops and food production. Land surface has been broken and crop seeded and harvested, leaving visible swath or till lines in imagery."
CultivationAbandoned,CultivationCropPastureBareground,Agriculture,Cultivation (Abandoned) ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,"Agricultural land that has been formally seeded and tilled, but no evidence of present day production use. Landscape appears to have a heterogeneous mix of vegetation and closely resembles natural cover."
CultivationRoughPasture,CultivationCropPastureBareground,Agriculture,Cultivation (Pasture) ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Land cleared of vegetation with no ground breakage. No tilling or seeding has taken place historically. May have few shrubs and trees present.
CultivationTamePasture,CultivationCropPastureBareground,Agriculture,Cultivation (Pasture) ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Agricultural land that has been cleared of surface vegetation and tilled. Seeded with grass species or alfalfa. Typically used to graze livestock-evidence of livestock may be present; or used for livestock feed production.
HighDensityLivestockOperation,HighDensityLivestockOperation,Agriculture,High Density Livestock Operation ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Confined feeding operation and other high density livestock area 
