HF_GROUP,Category,Type,UseInAnalysis,UseInAnalysisFine,SuccAlien,NonlinLin,UseInReporting,Sector,SectorForSeMs,Description
Urban,Urban & Rural & Industrial,Urban ,UrbInd,Urban,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,Cities and towns
RuralResidentialIndustrial,Urban & Rural & Industrial,Rural (Residential/Industrial) ,UrbInd,Rural,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,Small rural development (confounded with rural industrial development)
IndustrialSiteRural,Urban & Rural & Industrial,Industrial Site Rural ,UrbInd,Industrial,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,RuralUrban,Rural area developed for industrial use
WindGenerationFacility,Urban & Rural & Industrial,Wind Generation Facility,UrbInd,Industrial,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Misc,Area around the windmill
OtherDisturbedVegetation,Urban & Rural & Industrial,Other Disturbed Vegetation ,UrbInd,Industrial,Alien,Nonlin,"Urban, Rural & Industrial",Misc,Misc,"Recreation areas and other vegetated areas created for human use, including golf courses, grave yards, vegetated edges of airports, sometimes along roads and any other disturbed areas that have recovered vegetation "
MineSite,Mines ,Mine Site ,Mines,Mines,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,EnergyMW,Area where vegetation is disturbed
PeatMine,Mines ,Peat Mine ,Mines,Mines,Alien,Nonlin,"Mines, Wells & Other Energy Features",Misc,Misc,Area where vegetation is disturbed
WellSite,Wells ,Well Site ,UrbInd,Industrial,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,EnergyMW,Well pads created by the energy industry
Pipeline,Vegetated Linear Industrial Features,Pipeline ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyLin,Area where vegetation is disturbed
TransmissionLine,Vegetated Linear Industrial Features,Transmission Line ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyLin,Area where vegetation is disturbed
SeismicLine,Vegetated Linear Industrial Features,Seismic Line ,SoftLin,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,EnergyLin,Area where vegetation is disturbed
RoadHardSurface,Transportation ,Road – Hard Surface ,HardLin,HardLin,Alien,Lin,Transportation,Transportation,Transportation,Paved or gravel
RailHardSurface,Transportation ,Rail – Hard Surface ,HardLin,HardLin,Alien,Lin,Transportation,Transportation,Transportation,Usually gravel
RoadTrailVegetated,Transportation ,Road/Trail (Vegetated) ,SoftLin,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Road/Trail without gravel or pavement
RoadVegetatedVerge,Transportation ,Road – Vegetated Verge ,SoftLin,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Vegetated strips along paved/gravel roads
RailVegetatedVerge,Transportation ,Rail – Vegetated Verge ,SoftLin,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Vegetated strips along railways
CultivationCropPastureBareground,Agriculture,Cultivation (Crop/Pasture/Bare Ground) ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Any area where evidence of cultivation is visible during the photo interpretation
HighDensityLivestockOperation,Agriculture,High Density Livestock Operation ,Cult,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Confined feeding operation and other high density livestock area
CutBlocks,Managed Forest ,Cut Blocks ,HFor,HFor,Succ,Nonlin,Forest Harvest,Forestry,Forestry,Area with trees harvested for industrial purposes
BorrowpitsDugoutsSumps,Human-created Water Bodies ,"Borrow-Pits, Dug-outs, Sumps ",HWater,HWater,Alien,Nonlin,Human-created Water Bodies,Misc,Misc,"Created to extract fill, or for livestock watering "
MunicipalWaterSewage,Human-created Water Bodies ,Municipal (Water and Sewage) ,HWater,HWater,Alien,Nonlin,Human-created Water Bodies,Misc,Misc,Created for municipal purposes (some/many of these may be mislabelled)
Reservoirs,Human-created Water Bodies ,Reservoirs ,HWater,HWater,Alien,Nonlin,Human-created Water Bodies,Misc,Misc,Man-made lake
Canals,Human-created Water Bodies ,Canals ,HWater,HWater,Alien,Nonlin,Human-created Water Bodies,Misc,Misc,Created to transport water
