ID,is_HF,is_water,is_road,Levels1,Levels2,Levels3,Levels4,UseInAnalysisCoarse,UseInAnalysisFine,Sector61,SuccAlien,NonlinLin,UseInReporting,Sector,Description,SOIL1,SOIL1v,Sector2,PolyReclass
BdL,FALSE,FALSE,FALSE,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,Native,,,NA,NA,NA,RapidDrain,NonProductive,RapidDrain,RapidDrain
BlO,FALSE,FALSE,FALSE,Saline,Saline,Saline,SalineAndClay,Saline,Saline,Native,,,NA,NA,NA,SalineAndClay,NonProductive,Saline,Saline
CS,FALSE,FALSE,FALSE,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,Native,,,NA,NA,NA,RapidDrain,NonProductive,RapidDrain,RapidDrain
Cy,FALSE,FALSE,FALSE,Clay,Clay,ProductiveAndClay,SalineAndClay,Clay,Clay,Native,,,NA,NA,NA,SalineAndClay,NonProductive,Clay,Clay
Gr,FALSE,FALSE,FALSE,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,Native,,,NA,NA,NA,RapidDrain,NonProductive,RapidDrain,RapidDrain
Water,FALSE,TRUE,FALSE,SoilWater,SoilWater,SoilWater,SoilWater,SoilWater,SoilWater,Native,,,NA,NA,NA,XXX,XXX,SoilWater,SoilWater
LenA,FALSE,FALSE,FALSE,Saline,Saline,Saline,Saline,Saline,Saline,Native,,,NA,NA,NA,SalineAndClay,NonProductive,Saline,Saline
LenSP,FALSE,FALSE,FALSE,Productive,Productive,ProductiveAndClay,Productive,Productive,Productive,Native,,,NA,NA,NA,Productive,Productive,Productive,Productive
Li,FALSE,FALSE,FALSE,Productive,Productive,ProductiveAndClay,Productive,Productive,Productive,Native,,,NA,NA,NA,Productive,Productive,Productive,Productive
Lo,FALSE,FALSE,FALSE,Productive,Productive,ProductiveAndClay,Productive,Productive,Productive,Native,,,NA,NA,NA,Productive,Productive,Productive,Productive
LtcH,FALSE,FALSE,FALSE,Productive,Productive,ProductiveAndClay,Productive,Productive,Productive,Native,,,NA,NA,NA,Productive,Productive,Productive,Productive
LtcS,FALSE,FALSE,FALSE,Productive,Productive,ProductiveAndClay,Productive,Productive,Productive,Native,,,NA,NA,NA,Productive,Productive,Productive,Productive
Ov,FALSE,FALSE,FALSE,Saline,Saline,Saline,SalineAndClay,Saline,Saline,Native,,,NA,NA,NA,SalineAndClay,NonProductive,Saline,Saline
Sa,FALSE,FALSE,FALSE,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,RapidDrain,Native,,,NA,NA,NA,RapidDrain,NonProductive,RapidDrain,RapidDrain
Sb,FALSE,FALSE,FALSE,Productive,Productive,ProductiveAndClay,Productive,Productive,Productive,Native,,,NA,NA,NA,Productive,Productive,Productive,Productive
