,SOILHF,HF,SOIL,Levels1,Levels2,Levels3,Levels4,Category,Type,UseInAnalysis,SuccAlien,NonlinLin,UseInReporting,Sector,Description,SOIL1,SOIL1v,Sector2
BdL,BdL,NA,BdL,RapidDrain,RapidDrain,RapidDrain,RapidDrain,NA,NA,NA,NA,NA,NA,NA,NA,RapidDrain,NonProductive,RapidDrain
BlO,BlO,NA,BlO,Saline,Saline,Saline,SalineAndClay,NA,NA,NA,NA,NA,NA,NA,NA,SalineAndClay,NonProductive,Saline
CS,CS,NA,CS,RapidDrain,RapidDrain,RapidDrain,RapidDrain,NA,NA,NA,NA,NA,NA,NA,NA,RapidDrain,NonProductive,RapidDrain
Cy,Cy,NA,Cy,Clay,Clay,ProductiveAndClay,SalineAndClay,NA,NA,NA,NA,NA,NA,NA,NA,SalineAndClay,NonProductive,Clay
Gr,Gr,NA,Gr,RapidDrain,RapidDrain,RapidDrain,RapidDrain,NA,NA,NA,NA,NA,NA,NA,NA,RapidDrain,NonProductive,RapidDrain
Len,Len,NA,Len,Lentic,Lentic,Lentic,Lentic,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,Lentic
LenA,LenA,NA,LenA,Lentic,Lentic,Lentic,Lentic,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,Lentic
LenS,LenS,NA,LenS,Lentic,Lentic,Lentic,Lentic,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,Lentic
LenSP,LenSP,NA,LenSP,Lentic,Lentic,Lentic,Lentic,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,Lentic
LenT,LenT,NA,LenT,Lentic,Lentic,Lentic,Lentic,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,Lentic
LenW,LenW,NA,LenW,SoilWater,SoilWater,SoilWater,SoilWater,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,SoilWater
Li,Li,NA,Li,Productive,Productive,ProductiveAndClay,Productive,NA,NA,NA,NA,NA,NA,NA,NA,Productive,Productive,Productive
Lo,Lo,NA,Lo,Productive,Productive,ProductiveAndClay,Productive,NA,NA,NA,NA,NA,NA,NA,NA,Productive,Productive,Productive
Ltc,Ltc,NA,Ltc,Lotic,Lotic,Lotic,Lotic,NA,NA,NA,NA,NA,NA,NA,NA,XXX,XXX,Lotic
