VEGHFAGE_FINE,VEGHFAGE,AGE,VEGHF,VEGHF_FINE,IS_HF,ETA_UseInAnalysis,ETA_UseInAnalysis_Sector,StepBack,PolyReclass
Decid0,Decid0,Decid0,NA,Decid,Decid,FALSE,Deciduous5,NATIVE,Decid0,Deciduous80
DecidR,DecidR,DecidR,R,Decid,Decid,FALSE,DeciduousR,NATIVE,DecidR,Deciduous0
Decid1,Decid1,Decid1,1,Decid,Decid,FALSE,Deciduous1,NATIVE,Decid1,Deciduous10
Decid2,Decid2,Decid2,2,Decid,Decid,FALSE,Deciduous2,NATIVE,Decid2,Deciduous20
Decid3,Decid3,Decid3,3,Decid,Decid,FALSE,Deciduous3,NATIVE,Decid3,Deciduous40
Decid4,Decid4,Decid4,4,Decid,Decid,FALSE,Deciduous4,NATIVE,Decid4,Deciduous60
Decid5,Decid5,Decid5,5,Decid,Decid,FALSE,Deciduous5,NATIVE,Decid5,Deciduous80
Decid6,Decid6,Decid6,6,Decid,Decid,FALSE,Deciduous6,NATIVE,Decid6,Deciduous100
Decid7,Decid7,Decid7,7,Decid,Decid,FALSE,Deciduous7,NATIVE,Decid7,Deciduous120
Decid8,Decid8,Decid8,8,Decid,Decid,FALSE,Deciduous8,NATIVE,Decid8,Deciduous140
Decid9,Decid9,Decid9,9,Decid,Decid,FALSE,Deciduous8,NATIVE,Decid9,Deciduous140
Mixedwood0,Mixedwood0,Mixedwood0,NA,Mixedwood,Mixedwood,FALSE,Mixedwood5,NATIVE,Mixwood0,Mixedwood80
MixedwoodR,MixedwoodR,MixedwoodR,R,Mixedwood,Mixedwood,FALSE,MixedwoodR,NATIVE,MixwoodR,Mixedwood0
Mixedwood1,Mixedwood1,Mixedwood1,1,Mixedwood,Mixedwood,FALSE,Mixedwood1,NATIVE,Mixwood1,Mixedwood10
Mixedwood2,Mixedwood2,Mixedwood2,2,Mixedwood,Mixedwood,FALSE,Mixedwood2,NATIVE,Mixwood2,Mixedwood20
Mixedwood3,Mixedwood3,Mixedwood3,3,Mixedwood,Mixedwood,FALSE,Mixedwood3,NATIVE,Mixwood3,Mixedwood40
Mixedwood4,Mixedwood4,Mixedwood4,4,Mixedwood,Mixedwood,FALSE,Mixedwood4,NATIVE,Mixwood4,Mixedwood60
Mixedwood5,Mixedwood5,Mixedwood5,5,Mixedwood,Mixedwood,FALSE,Mixedwood5,NATIVE,Mixwood5,Mixedwood80
Mixedwood6,Mixedwood6,Mixedwood6,6,Mixedwood,Mixedwood,FALSE,Mixedwood6,NATIVE,Mixwood6,Mixedwood100
Mixedwood7,Mixedwood7,Mixedwood7,7,Mixedwood,Mixedwood,FALSE,Mixedwood7,NATIVE,Mixwood7,Mixedwood120
Mixedwood8,Mixedwood8,Mixedwood8,8,Mixedwood,Mixedwood,FALSE,Mixedwood8,NATIVE,Mixwood8,Mixedwood140
Mixedwood9,Mixedwood9,Mixedwood9,9,Mixedwood,Mixedwood,FALSE,Mixedwood8,NATIVE,Mixwood9,Mixedwood140
Pine0,Pine0,Pine0,NA,Pine,Pine,FALSE,Pine5,NATIVE,Pine0,Pine80
PineR,PineR,PineR,R,Pine,Pine,FALSE,PineR,NATIVE,PineR,Pine0
Pine1,Pine1,Pine1,1,Pine,Pine,FALSE,Pine1,NATIVE,Pine1,Pine10
Pine2,Pine2,Pine2,2,Pine,Pine,FALSE,Pine2,NATIVE,Pine2,Pine20
Pine3,Pine3,Pine3,3,Pine,Pine,FALSE,Pine3,NATIVE,Pine3,Pine40
Pine4,Pine4,Pine4,4,Pine,Pine,FALSE,Pine4,NATIVE,Pine4,Pine60
Pine5,Pine5,Pine5,5,Pine,Pine,FALSE,Pine5,NATIVE,Pine5,Pine80
Pine6,Pine6,Pine6,6,Pine,Pine,FALSE,Pine6,NATIVE,Pine6,Pine100
Pine7,Pine7,Pine7,7,Pine,Pine,FALSE,Pine7,NATIVE,Pine7,Pine120
Pine8,Pine8,Pine8,8,Pine,Pine,FALSE,Pine8,NATIVE,Pine8,Pine140
Pine9,Pine9,Pine9,9,Pine,Pine,FALSE,Pine8,NATIVE,Pine9,Pine140
Spruce0,Spruce0,Spruce0,NA,Spruce,Spruce,FALSE,WhiteSpruce5,NATIVE,Conif0,WhiteSpruce80
SpruceR,SpruceR,SpruceR,R,Spruce,Spruce,FALSE,WhiteSpruceR,NATIVE,ConifR,WhiteSpruce0
Spruce1,Spruce1,Spruce1,1,Spruce,Spruce,FALSE,WhiteSpruce1,NATIVE,Conif1,WhiteSpruce10
Spruce2,Spruce2,Spruce2,2,Spruce,Spruce,FALSE,WhiteSpruce2,NATIVE,Conif2,WhiteSpruce20
Spruce3,Spruce3,Spruce3,3,Spruce,Spruce,FALSE,WhiteSpruce3,NATIVE,Conif3,WhiteSpruce40
Spruce4,Spruce4,Spruce4,4,Spruce,Spruce,FALSE,WhiteSpruce4,NATIVE,Conif4,WhiteSpruce60
Spruce5,Spruce5,Spruce5,5,Spruce,Spruce,FALSE,WhiteSpruce5,NATIVE,Conif5,WhiteSpruce80
Spruce6,Spruce6,Spruce6,6,Spruce,Spruce,FALSE,WhiteSpruce6,NATIVE,Conif6,WhiteSpruce100
Spruce7,Spruce7,Spruce7,7,Spruce,Spruce,FALSE,WhiteSpruce7,NATIVE,Conif7,WhiteSpruce120
Spruce8,Spruce8,Spruce8,8,Spruce,Spruce,FALSE,WhiteSpruce8,NATIVE,Conif8,WhiteSpruce140
Spruce9,Spruce9,Spruce9,9,Spruce,Spruce,FALSE,WhiteSpruce8,NATIVE,Conif9,WhiteSpruce140
TreedBog0,TreedBog0,TreedBog0,NA,TreedBog,TreedBog,FALSE,BlackSpruce5,NATIVE,Wetland-BSpr0,BlackSpruce80
