ID,UseInAnalysis,Sector,SectorFine,UseAvail
DecidR,DecidR,Native,Native,Decid
Decid1,Decid1,Native,Native,Decid
Decid2,Decid2,Native,Native,Decid
Decid3,Decid3,Native,Native,Decid
Decid4,Decid4,Native,Native,Decid
Decid5,Decid5,Native,Native,Decid
Decid6,Decid6,Native,Native,Decid
Decid7,Decid7,Native,Native,Decid
Decid8,Decid8,Native,Native,Decid
Decid9,Decid9,Native,Native,Decid
MixedwoodR,MixedwoodR,Native,Native,Mixedwood
Mixedwood1,Mixedwood1,Native,Native,Mixedwood
Mixedwood2,Mixedwood2,Native,Native,Mixedwood
Mixedwood3,Mixedwood3,Native,Native,Mixedwood
Mixedwood4,Mixedwood4,Native,Native,Mixedwood
Mixedwood5,Mixedwood5,Native,Native,Mixedwood
Mixedwood6,Mixedwood6,Native,Native,Mixedwood
Mixedwood7,Mixedwood7,Native,Native,Mixedwood
Mixedwood8,Mixedwood8,Native,Native,Mixedwood
Mixedwood9,Mixedwood9,Native,Native,Mixedwood
PineR,PineR,Native,Native,Pine
Pine1,Pine1,Native,Native,Pine
Pine2,Pine2,Native,Native,Pine
Pine3,Pine3,Native,Native,Pine
Pine4,Pine4,Native,Native,Pine
Pine5,Pine5,Native,Native,Pine
Pine6,Pine6,Native,Native,Pine
Pine7,Pine7,Native,Native,Pine
Pine8,Pine8,Native,Native,Pine
Pine9,Pine9,Native,Native,Pine
SpruceR,SpruceR,Native,Native,Spruce
Spruce1,Spruce1,Native,Native,Spruce
Spruce2,Spruce2,Native,Native,Spruce
Spruce3,Spruce3,Native,Native,Spruce
Spruce4,Spruce4,Native,Native,Spruce
Spruce5,Spruce5,Native,Native,Spruce
Spruce6,Spruce6,Native,Native,Spruce
Spruce7,Spruce7,Native,Native,Spruce
Spruce8,Spruce8,Native,Native,Spruce
Spruce9,Spruce9,Native,Native,Spruce
TreedBogR,TreedBogR,Native,Native,TreedBogFen
TreedBog1,TreedBog1,Native,Native,TreedBogFen
TreedBog2,TreedBog2,Native,Native,TreedBogFen
TreedBog3,TreedBog3,Native,Native,TreedBogFen
TreedBog4,TreedBog4,Native,Native,TreedBogFen
TreedBog5,TreedBog5,Native,Native,TreedBogFen
TreedBog6,TreedBog6,Native,Native,TreedBogFen
TreedBog7,TreedBog7,Native,Native,TreedBogFen
TreedBog8,TreedBog8,Native,Native,TreedBogFen
TreedBog9,TreedBog9,Native,Native,TreedBogFen
TreedFenR,TreedFenR,Native,Native,TreedBogFen
TreedFen1,TreedFen1,Native,Native,TreedBogFen
TreedFen2,TreedFen2,Native,Native,TreedBogFen
TreedFen3,TreedFen3,Native,Native,TreedBogFen
TreedFen4,TreedFen4,Native,Native,TreedBogFen
TreedFen5,TreedFen5,Native,Native,TreedBogFen
TreedFen6,TreedFen6,Native,Native,TreedBogFen
TreedFen7,TreedFen7,Native,Native,TreedBogFen
TreedFen8,TreedFen8,Native,Native,TreedBogFen
TreedFen9,TreedFen9,Native,Native,TreedBogFen
TreedSwampR,TreedSwamp,Native,Native,Swamp
TreedSwamp1,TreedSwamp,Native,Native,Swamp
TreedSwamp2,TreedSwamp,Native,Native,Swamp
TreedSwamp3,TreedSwamp,Native,Native,Swamp
TreedSwamp4,TreedSwamp,Native,Native,Swamp
TreedSwamp5,TreedSwamp,Native,Native,Swamp
TreedSwamp6,TreedSwamp,Native,Native,Swamp
TreedSwamp7,TreedSwamp,Native,Native,Swamp
TreedSwamp8,TreedSwamp,Native,Native,Swamp
TreedSwamp9,TreedSwamp,Native,Native,Swamp
GrassHerb,GrassHerb,Native,Native,GrassHerb
Shrub,Shrub,Native,Native,Shrub
GraminoidFen,GraminoidFen,Native,Native,NonTreedBogFen
Marsh,Marsh,Native,Native,Marsh
ShrubbyBog,ShrubbyBog,Native,Native,NonTreedBogFen
ShrubbyFen,ShrubbyFen,Native,Native,NonTreedBogFen
ShrubbySwamp,ShrubbySwamp,Native,Native,Swamp
Bare,Bare,Native,Native,EXCLUDE
SnowIce,SnowIce,Native,Native,EXCLUDE
Water,Water,Native,Native,EXCLUDE
UrbanIndustrial,Urban,RuralUrban,Urban,UrbInd
UrbanResidence,Urban,RuralUrban,Urban,UrbInd
RuralResidentialIndustrial,Rural,RuralUrban,Rural,UrbInd
IndustrialSiteRural,Industrial,RuralUrban,Industrial,UrbInd
WindGenerationFacility,Industrial,Energy,Industrial,UrbInd
OtherDisturbedVegetation,Rural,RuralUrban,Rural,UrbInd
MineSite,Mine,Energy,Mine,UrbInd
PeatMine,Mine,Misc,Misc,UrbInd
WellSite,Well,Energy,Well,UrbInd
Pipeline,EnSoftLin,Energy,EnSoftLin,SoftLin
TransmissionLine,EnSoftLin,Energy,EnSoftLin,SoftLin
SeismicLineNarrow,EnSeismic,Energy,EnSeismic,SoftLin
SeismicLineWide,EnSeismic,Energy,EnSeismic,SoftLin
RoadHardSurface,HardLin,Transportation,HardLin,HardLin
RailHardSurface,HardLin,Transportation,HardLin,HardLin
RoadTrailVegetated,TrSoftLin,Transportation,TrSoftLin,SoftLin
RoadVegetatedVerge,TrSoftLin,Transportation,TrSoftLin,SoftLin
RailVegetatedVerge,TrSoftLin,Transportation,TrSoftLin,SoftLin
CultivationCrop,Crop,Agriculture,Crop,Crop
CultivationAbandoned,RoughP,Agriculture,RoughP,RoughP
CultivationRoughPasture,RoughP,Agriculture,RoughP,RoughP
CultivationTamePasture,TameP,Agriculture,TameP,TameP
HighDensityLivestockOperation,TameP,Agriculture,TameP,TameP
BorrowpitsDugoutsSumps,HWater,Misc,Misc,EXCLUDE
MunicipalWaterSewage,HWater,Misc,Misc,EXCLUDE
Reservoirs,HWater,Misc,Misc,EXCLUDE
Canals,HWater,Misc,Misc,EXCLUDE
CCDecidR,CCDecidR,Forestry,Forestry,Forestry
