ID,is_HF,is_linear,is_alien,is_water,is_wet,is_road,is_road_veg,is_closed,is_forest,is_harvest,UseInAnalysisFine,UseInAnalysisFineAge,UseInAnalysisCoarse,Sector61,LCC4,MatureOld,forest_stand,VEGHFAGE_FINE,VEGHFAGE,AGE,VEGHF,VEGHF_FINE,ETA_UseInAnalysis,ETA_UseInAnalysis_Sector,StepBack,PolyReclass,UseAvail,UseInPIX,CoefTabs,CoefTabsBDQT
DecidR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Decid,DecidR,DecMix,Native,Open,FALSE,Decid,DecidR,DecidR,R,Decid,Decid,DeciduousR,NATIVE,DecidR,Deciduous0,Deciduous,Decid,Deciduous_0-10,Deciduous_0-10
Decid1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid1,DecMix,Native,DecidMixed,FALSE,Decid,Decid1,Decid1,1,Decid,Decid,Deciduous1,NATIVE,Decid1,Deciduous10,Deciduous,Decid,Deciduous_10-20,Deciduous_10-20
Decid2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid2,DecMix,Native,DecidMixed,FALSE,Decid,Decid2,Decid2,2,Decid,Decid,Deciduous2,NATIVE,Decid2,Deciduous20,Deciduous,Decid,Deciduous_20-40,Deciduous_20-40
Decid3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid3,DecMix,Native,DecidMixed,FALSE,Decid,Decid3,Decid3,3,Decid,Decid,Deciduous3,NATIVE,Decid3,Deciduous40,Deciduous,Decid,Deciduous_40-60,Deciduous_40-60
Decid4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid4,DecMix,Native,DecidMixed,TRUE,Decid,Decid4,Decid4,4,Decid,Decid,Deciduous4,NATIVE,Decid4,Deciduous60,Deciduous,DecidO,Deciduous_60-80,Deciduous_60-80
Decid5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid5,DecMix,Native,DecidMixed,TRUE,Decid,Decid5,Decid5,5,Decid,Decid,Deciduous5,NATIVE,Decid5,Deciduous80,Deciduous,DecidO,Deciduous_80-100,Deciduous_80-100
Decid6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid6,DecMix,Native,DecidMixed,TRUE,Decid,Decid6,Decid6,6,Decid,Decid,Deciduous6,NATIVE,Decid6,Deciduous100,Deciduous,DecidO,Deciduous_100-120,Deciduous_100-120
Decid7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid7,DecMix,Native,DecidMixed,TRUE,Decid,Decid7,Decid7,7,Decid,Decid,Deciduous7,NATIVE,Decid7,Deciduous120,Deciduous,DecidO,Deciduous_120-140,Deciduous_120-140
Decid8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid8,DecMix,Native,DecidMixed,TRUE,Decid,Decid8,Decid8,8,Decid,Decid,Deciduous8,NATIVE,Decid8,Deciduous140,Deciduous,DecidO,Deciduous_140+,Deciduous_140+
Decid9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Decid,Decid9,DecMix,Native,DecidMixed,TRUE,Decid,Decid9,Decid9,9,Decid,Decid,Deciduous8,NATIVE,Decid9,Deciduous140,Deciduous,DecidO,Deciduous_140+,Deciduous_140+
MixedwoodR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Mixedwood,MixedwoodR,DecMix,Native,Open,FALSE,Mixedwood,MixedwoodR,MixedwoodR,R,Mixedwood,Mixedwood,MixedwoodR,NATIVE,MixwoodR,Mixedwood0,Mixedwood,Mixed,Mixedwood_0-10,Mixedwood_0-10
Mixedwood1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood1,DecMix,Native,DecidMixed,FALSE,Mixedwood,Mixedwood1,Mixedwood1,1,Mixedwood,Mixedwood,Mixedwood1,NATIVE,Mixwood1,Mixedwood10,Mixedwood,Mixed,Mixedwood_10-20,Mixedwood_10-20
Mixedwood2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood2,DecMix,Native,DecidMixed,FALSE,Mixedwood,Mixedwood2,Mixedwood2,2,Mixedwood,Mixedwood,Mixedwood2,NATIVE,Mixwood2,Mixedwood20,Mixedwood,Mixed,Mixedwood_20-40,Mixedwood_20-40
Mixedwood3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood3,DecMix,Native,DecidMixed,FALSE,Mixedwood,Mixedwood3,Mixedwood3,3,Mixedwood,Mixedwood,Mixedwood3,NATIVE,Mixwood3,Mixedwood40,Mixedwood,Mixed,Mixedwood_40-60,Mixedwood_40-60
Mixedwood4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood4,DecMix,Native,DecidMixed,TRUE,Mixedwood,Mixedwood4,Mixedwood4,4,Mixedwood,Mixedwood,Mixedwood4,NATIVE,Mixwood4,Mixedwood60,Mixedwood,MixedO,Mixedwood_60-80,Mixedwood_60-80
Mixedwood5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood5,DecMix,Native,DecidMixed,TRUE,Mixedwood,Mixedwood5,Mixedwood5,5,Mixedwood,Mixedwood,Mixedwood5,NATIVE,Mixwood5,Mixedwood80,Mixedwood,MixedO,Mixedwood_80-100,Mixedwood_80-100
Mixedwood6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood6,DecMix,Native,DecidMixed,TRUE,Mixedwood,Mixedwood6,Mixedwood6,6,Mixedwood,Mixedwood,Mixedwood6,NATIVE,Mixwood6,Mixedwood100,Mixedwood,MixedO,Mixedwood_100-120,Mixedwood_100-120
Mixedwood7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood7,DecMix,Native,DecidMixed,TRUE,Mixedwood,Mixedwood7,Mixedwood7,7,Mixedwood,Mixedwood,Mixedwood7,NATIVE,Mixwood7,Mixedwood120,Mixedwood,MixedO,Mixedwood_120-140,Mixedwood_120-140
Mixedwood8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood8,DecMix,Native,DecidMixed,TRUE,Mixedwood,Mixedwood8,Mixedwood8,8,Mixedwood,Mixedwood,Mixedwood8,NATIVE,Mixwood8,Mixedwood140,Mixedwood,MixedO,Mixedwood_140+,Mixedwood_140+
Mixedwood9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Mixedwood,Mixedwood9,DecMix,Native,DecidMixed,TRUE,Mixedwood,Mixedwood9,Mixedwood9,9,Mixedwood,Mixedwood,Mixedwood8,NATIVE,Mixwood9,Mixedwood140,Mixedwood,MixedO,Mixedwood_140+,Mixedwood_140+
PineR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Pine,PineR,ConUp,Native,Open,FALSE,Pine,PineR,PineR,R,Pine,Pine,PineR,NATIVE,PineR,Pine0,Pine,Pine,Pine_0-10,Pine_0-10
Pine1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Pine,Pine1,ConUp,Native,Conif,FALSE,Pine,Pine1,Pine1,1,Pine,Pine,Pine1,NATIVE,Pine1,Pine10,Pine,Pine,Pine_10-20,Pine_10-20
Pine2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Pine,Pine2,ConUp,Native,Conif,FALSE,Pine,Pine2,Pine2,2,Pine,Pine,Pine2,NATIVE,Pine2,Pine20,Pine,Pine,Pine_20-40,Pine_20-40
Pine3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Pine,Pine3,ConUp,Native,Conif,FALSE,Pine,Pine3,Pine3,3,Pine,Pine,Pine3,NATIVE,Pine3,Pine40,Pine,Pine,Pine_40-60,Pine_40-60
Pine4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Pine,Pine4,ConUp,Native,Conif,FALSE,Pine,Pine4,Pine4,4,Pine,Pine,Pine4,NATIVE,Pine4,Pine60,Pine,Pine,Pine_60-80,Pine_60-80
Pine5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Pine,Pine5,ConUp,Native,Conif,TRUE,Pine,Pine5,Pine5,5,Pine,Pine,Pine5,NATIVE,Pine5,Pine80,Pine,PineO,Pine_80-100,Pine_80-100
