VEGHFAGE,HF,VEGAGE,VEG,AGE,Broad,Type,TypeCC,WET,WATER,WETWATER,VEGAGE_use,AGE_Description,AgeMin,AgeMax,StructuralStage,EC_AGE,Category,HFtype,UseInAnalysis,SuccAlien,NonlinLin,UseInHFReporting,UseInReporting,Sector,Description,Sector2,Sector3,Combined,LevsForComp,LCC5
Conif0,Conif0,NA,Conif0,Conif,0,Forest,Conif,Conif,0,0,0,Conif0,Unknown,NA,NA,Unknown,D,NA,NA,Conif0,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif0,Conif,1
ConifR,ConifR,NA,ConifR,Conif,R,Forest,Conif,Conif,0,0,0,ConifR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,ConifR,NA,NA,NA,NA,NA,NA,Conif,UpConif,ConifR,Conif,3
Conif1,Conif1,NA,Conif1,Conif,1,Forest,Conif,Conif,0,0,0,Conif1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,Conif1,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif1,Conif,3
Conif2,Conif2,NA,Conif2,Conif,2,Forest,Conif,Conif,0,0,0,Conif2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,Conif2,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif2,Conif,3
Conif3,Conif3,NA,Conif3,Conif,3,Forest,Conif,Conif,0,0,0,Conif3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,Conif3,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif3,Conif,1
Conif4,Conif4,NA,Conif4,Conif,4,Forest,Conif,Conif,0,0,0,Conif4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C,NA,NA,Conif4,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif4,Conif,1
Conif5,Conif5,NA,Conif5,Conif,5,Forest,Conif,Conif,0,0,0,Conif5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D,NA,NA,Conif5,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif5,Conif,1
Conif6,Conif6,NA,Conif6,Conif,6,Forest,Conif,Conif,0,0,0,Conif6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,Conif6,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif6,Conif,1
Conif7,Conif7,NA,Conif7,Conif,7,Forest,Conif,Conif,0,0,0,Conif7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,Conif7,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif7,Conif,1
Conif8,Conif8,NA,Conif8,Conif,8,Forest,Conif,Conif,0,0,0,Conif8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,Conif8,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif8,Conif,1
Conif9,Conif9,NA,Conif9,Conif,9,Forest,Conif,Conif,0,0,0,Conif9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,Conif9,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif9,Conif,1
Decid0,Decid0,NA,Decid0,Decid,0,Forest,Decid,Decid,0,0,0,Decid0,Unknown,NA,NA,Unknown,D,NA,NA,Decid0,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid0,Decid,2
DecidR,DecidR,NA,DecidR,Decid,R,Forest,Decid,Decid,0,0,0,DecidR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,DecidR,NA,NA,NA,NA,NA,NA,Decid,Decid,DecidR,Decid,4
Decid1,Decid1,NA,Decid1,Decid,1,Forest,Decid,Decid,0,0,0,Decid1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,Decid1,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid1,Decid,4
Decid2,Decid2,NA,Decid2,Decid,2,Forest,Decid,Decid,0,0,0,Decid2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,Decid2,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid2,Decid,4
Decid3,Decid3,NA,Decid3,Decid,3,Forest,Decid,Decid,0,0,0,Decid3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,Decid3,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid3,Decid,2
Decid4,Decid4,NA,Decid4,Decid,4,Forest,Decid,Decid,0,0,0,Decid4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D,NA,NA,Decid4,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid4,Decid,2
Decid5,Decid5,NA,Decid5,Decid,5,Forest,Decid,Decid,0,0,0,Decid5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D,NA,NA,Decid5,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid5,Decid,2
Decid6,Decid6,NA,Decid6,Decid,6,Forest,Decid,Decid,0,0,0,Decid6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,Decid6,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid6,Decid,2
Decid7,Decid7,NA,Decid7,Decid,7,Forest,Decid,Decid,0,0,0,Decid7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,Decid7,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid7,Decid,2
Decid8,Decid8,NA,Decid8,Decid,8,Forest,Decid,Decid,0,0,0,Decid8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,Decid8,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid8,Decid,2
Decid9,Decid9,NA,Decid9,Decid,9,Forest,Decid,Decid,0,0,0,Decid9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,Decid9,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid9,Decid,2
Mixwood0,Mixwood0,NA,Mixwood0,Mixwood,0,Forest,Mixwood,Mixwood,0,0,0,Mixwood0,Unknown,NA,NA,Unknown,D,NA,NA,Mixwood0,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood0,Mixwood,2
MixwoodR,MixwoodR,NA,MixwoodR,Mixwood,R,Forest,Mixwood,Mixwood,0,0,0,MixwoodR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,MixwoodR,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,MixwoodR,Mixwood,4
Mixwood1,Mixwood1,NA,Mixwood1,Mixwood,1,Forest,Mixwood,Mixwood,0,0,0,Mixwood1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,Mixwood1,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood1,Mixwood,4
Mixwood2,Mixwood2,NA,Mixwood2,Mixwood,2,Forest,Mixwood,Mixwood,0,0,0,Mixwood2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,Mixwood2,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood2,Mixwood,4
Mixwood3,Mixwood3,NA,Mixwood3,Mixwood,3,Forest,Mixwood,Mixwood,0,0,0,Mixwood3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,Mixwood3,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood3,Mixwood,2
Mixwood4,Mixwood4,NA,Mixwood4,Mixwood,4,Forest,Mixwood,Mixwood,0,0,0,Mixwood4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D,NA,NA,Mixwood4,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood4,Mixwood,2
Mixwood5,Mixwood5,NA,Mixwood5,Mixwood,5,Forest,Mixwood,Mixwood,0,0,0,Mixwood5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D,NA,NA,Mixwood5,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood5,Mixwood,2
Mixwood6,Mixwood6,NA,Mixwood6,Mixwood,6,Forest,Mixwood,Mixwood,0,0,0,Mixwood6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,Mixwood6,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood6,Mixwood,2
Mixwood7,Mixwood7,NA,Mixwood7,Mixwood,7,Forest,Mixwood,Mixwood,0,0,0,Mixwood7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,Mixwood7,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood7,Mixwood,2
Mixwood8,Mixwood8,NA,Mixwood8,Mixwood,8,Forest,Mixwood,Mixwood,0,0,0,Mixwood8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,Mixwood8,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood8,Mixwood,2
Mixwood9,Mixwood9,NA,Mixwood9,Mixwood,9,Forest,Mixwood,Mixwood,0,0,0,Mixwood9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,Mixwood9,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood9,Mixwood,2
Pine0,Pine0,NA,Pine0,Pine,0,Forest,Pine,Pine,0,0,0,Pine0,Unknown,NA,NA,Unknown,D,NA,NA,Pine0,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine0,Pine,1
PineR,PineR,NA,PineR,Pine,R,Forest,Pine,Pine,0,0,0,PineR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,PineR,NA,NA,NA,NA,NA,NA,Pine,UpConif,PineR,Pine,3
Pine1,Pine1,NA,Pine1,Pine,1,Forest,Pine,Pine,0,0,0,Pine1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,Pine1,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine1,Pine,3
Pine2,Pine2,NA,Pine2,Pine,2,Forest,Pine,Pine,0,0,0,Pine2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,Pine2,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine2,Pine,3
Pine3,Pine3,NA,Pine3,Pine,3,Forest,Pine,Pine,0,0,0,Pine3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,Pine3,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine3,Pine,1
Pine4,Pine4,NA,Pine4,Pine,4,Forest,Pine,Pine,0,0,0,Pine4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C,NA,NA,Pine4,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine4,Pine,1
Pine5,Pine5,NA,Pine5,Pine,5,Forest,Pine,Pine,0,0,0,Pine5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D,NA,NA,Pine5,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine5,Pine,1
Pine6,Pine6,NA,Pine6,Pine,6,Forest,Pine,Pine,0,0,0,Pine6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,Pine6,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine6,Pine,1
Pine7,Pine7,NA,Pine7,Pine,7,Forest,Pine,Pine,0,0,0,Pine7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,Pine7,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine7,Pine,1
Pine8,Pine8,NA,Pine8,Pine,8,Forest,Pine,Pine,0,0,0,Pine8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,Pine8,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine8,Pine,1
Pine9,Pine9,NA,Pine9,Pine,9,Forest,Pine,Pine,0,0,0,Pine9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,Pine9,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine9,Pine,1
GrassHerb,GrassHerb,NA,GrassHerb,GrassHerb,,GrassHerb,GrassHerb,GrassHerb,0,0,0,GrassHerb,,NA,NA,,,NA,NA,GrassHerb,NA,NA,NA,NA,NA,NA,GrassHerb,OpenOther,GrassHerb,GrassHerb,5
NonVeg,NonVeg,NA,NonVeg,NonVeg,,NonVeg,XXX,XXX,0,0,0,NonVeg,,NA,NA,,,NA,NA,XXX,NA,NA,NA,NA,NA,NA,NonVeg,OpenOther,NonVeg,NonVeg,5
Shrub,Shrub,NA,Shrub,Shrub,,Shrub,Shrub,Shrub,0,0,0,Shrub,,NA,NA,,,NA,NA,Shrub,NA,NA,NA,NA,NA,NA,Shrub,OpenOther,Shrub,Shrub,5
Water,Water,NA,Water,Water,,Water,XXX,XXX,0,1,1,Water,,NA,NA,,,NA,NA,XXX,NA,NA,NA,NA,NA,NA,Water,OpenOther,Water,Water,5
Swamp-Conif0,Swamp-Conif0,NA,Swamp-Conif0,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,Unknown,NA,NA,Unknown,,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif0,Conif,5
Swamp-ConifR,Swamp-ConifR,NA,Swamp-ConifR,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,ConifR,Conif,5
Swamp-Conif1,Swamp-Conif1,NA,Swamp-Conif1,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,10-19 yr old,10,19,Shrub (Stand Initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif1,Conif,5
Swamp-Conif2,Swamp-Conif2,NA,Swamp-Conif2,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif2,Conif,5
Swamp-Conif3,Swamp-Conif3,NA,Swamp-Conif3,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif3,Conif,5
Swamp-Conif4,Swamp-Conif4,NA,Swamp-Conif4,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif4,Conif,5
Swamp-Conif5,Swamp-Conif5,NA,Swamp-Conif5,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif5,Conif,5
Swamp-Conif6,Swamp-Conif6,NA,Swamp-Conif6,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif6,Conif,5
Swamp-Conif7,Swamp-Conif7,NA,Swamp-Conif7,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif7,Conif,5
Swamp-Conif8,Swamp-Conif8,NA,Swamp-Conif8,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif8,Conif,5
Swamp-Conif9,Swamp-Conif9,NA,Swamp-Conif9,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif9,Conif,5
Swamp-Decid0,Swamp-Decid0,NA,Swamp-Decid0,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,Unknown,NA,NA,Unknown,,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid0,Decid,5
Swamp-DecidR,Swamp-DecidR,NA,Swamp-DecidR,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,DecidR,Decid,5
Swamp-Decid1,Swamp-Decid1,NA,Swamp-Decid1,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,10-19 yr old,10,19,Shrub (Stand Initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid1,Decid,5
Swamp-Decid2,Swamp-Decid2,NA,Swamp-Decid2,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid2,Decid,5
Swamp-Decid3,Swamp-Decid3,NA,Swamp-Decid3,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid3,Decid,5
Swamp-Decid4,Swamp-Decid4,NA,Swamp-Decid4,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid4,Decid,5
Swamp-Decid5,Swamp-Decid5,NA,Swamp-Decid5,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid5,Decid,5
