V6_COMB,MERGED,DH_VERSION,USE_AGE
Alkali,GrassHerb,,0
AlpineLarch,Spruce,,1
Bare,Bare,,0
Conif,Spruce,,1
Decid,Decid,,1
Fir,Spruce,,1
GraminoidFen,GraminoidFen,Marsh,0
GrassHerb,GrassHerb,,0
Marsh,Marsh,Marsh,0
Mixedwood,Mixedwood,,1
Pine,Pine,,1
Shrub,Shrub,,0
ShrubbyBog,ShrubbyBog,ShrubbyBog,0
ShrubbyFen,ShrubbyFen,ShrubbyBog,0
ShrubbySwamp,ShrubbySwamp,,0
SnowIce,SnowIce,,0
Spruce,Spruce,,1
TreedBog-BSpr,TreedBog,TreedBog,1
TreedFen-BSpr,TreedFen,TreedBog,1
TreedFen-Decid,TreedFen,TreedBog,1
TreedFen-Larch,TreedFen,TreedBog,1
TreedFen-Mixedwood,TreedFen,TreedBog,1
TreedSwamp-Conif,TreedSwamp,,0
TreedSwamp-Decid,TreedSwamp,,0
TreedSwamp-Fir,TreedSwamp,,0
TreedSwamp-Forest,TreedSwamp,,0
TreedSwamp-Mixedwood,TreedSwamp,,0
TreedSwamp-Spruce,TreedSwamp,,0
TreedWetland-Mixedwood,TreedFen,TreedBog,1
Water,Water,,0
