Veg_Moist_preBkfSrs,Veg,Moist,preBkfSrs,Combined,need_CWCS
Alaska birch leading - deciduous::5D::PLVI,Alaska birch leading - deciduous,5D,PLVI,Decid,
Alkali::wet-derived::CPVI,Alkali,wet-derived,CPVI,Alkali,
Alkali::wet-derived::GVI,Alkali,wet-derived,GVI,Alkali,
Alkali::wet-derived::Phase1,Alkali,wet-derived,Phase1,Alkali,
Alpine fir MixC::d::ABMICutblock,Alpine fir MixC,d,ABMICutblock,Fir,
Alpine fir MixC::d::AVIE,Alpine fir MixC,d,AVIE,Fir,
Alpine fir MixC::m::ABMICutblock,Alpine fir MixC,m,ABMICutblock,Fir,
Alpine fir MixC::m::AVIE,Alpine fir MixC,m,AVIE,Fir,
Alpine fir MixC::w::AVIE,Alpine fir MixC,w,AVIE,TreedSwamp-Fir,
Alpine fir MixCD::d::AVIE,Alpine fir MixCD,d,AVIE,Mixedwood,
Alpine fir MixCD::m::AVIE,Alpine fir MixCD,m,AVIE,Mixedwood,
Alpine fir MixWet::d::AVIE,Alpine fir MixWet,d,AVIE,TreedSwamp-Fir,
Alpine fir MixWet::m::AVIE,Alpine fir MixWet,m,AVIE,TreedSwamp-Fir,
Alpine fir::d::ABMICutblock,Alpine fir,d,ABMICutblock,Fir,
Alpine fir::d::AVIE,Alpine fir,d,AVIE,Fir,
Alpine fir::m::ABMICutblock,Alpine fir,m,ABMICutblock,Fir,
Alpine fir::m::AVIE,Alpine fir,m,AVIE,Fir,
Alpine fir::w::AVIE,Alpine fir,w,AVIE,TreedSwamp-Fir,
Alpine larch MixC::d::AVIE,Alpine larch MixC,d,AVIE,AlpineLarch,
Alpine larch MixC::m::ABMICutblock,Alpine larch MixC,m,ABMICutblock,AlpineLarch,
Alpine larch MixC::m::AVIE,Alpine larch MixC,m,AVIE,AlpineLarch,
Alpine larch::d::AVIE,Alpine larch,d,AVIE,AlpineLarch,
Alpine larch::m::AVIE,Alpine larch,m,AVIE,AlpineLarch,
Aspen::Hygric::MTNP,Aspen,Hygric,MTNP,Decid,
Aspen::Mesic::ABMICutblock,Aspen,Mesic,ABMICutblock,Decid,
Aspen::Mesic::MTNP,Aspen,Mesic,MTNP,Decid,
Aspen::mesic-derived::WBNP,Aspen,mesic-derived,WBNP,Decid,
Aspen::Sub-Mesic::ABMICutblock,Aspen,Sub-Mesic,ABMICutblock,Decid,
Aspen::Sub-Mesic::MTNP,Aspen,Sub-Mesic,MTNP,Decid,
Aspen::Xeric::MTNP,Aspen,Xeric,MTNP,Decid,
Badlands/Bedrock::dry-derived::GVI,Badlands/Bedrock,dry-derived,GVI,Bare,
Balsam fir leading - conifer::5D::PLVI,Balsam fir leading - conifer,5D,PLVI,Fir,
Balsam fir leading - conifer::7D::PLVI,Balsam fir leading - conifer,7D,PLVI,TreedSwamp-Fir,
Balsam fir leading - mixedwood::5C::PLVI,Balsam fir leading - mixedwood,5C,PLVI,Mixedwood,
