Veg_Type,Moisture_Reg,preBackfill_Source,Combined,need_CWCS
Alaska birch leading - deciduous,5D,PLVI,Decid,
Alkali,wet-derived,CPVI,Alkali,
Alkali,wet-derived,GVI,Alkali,
Alkali,wet-derived,Phase1,Alkali,
Alpine fir MixC,d,ABMICutblock,Fir,
Alpine fir MixC,d,AVIE,Fir,
Alpine fir MixC,m,ABMICutblock,Fir,
Alpine fir MixC,m,AVIE,Fir,
Alpine fir MixC,w,AVIE,TreedSwamp-Fir,
Alpine fir MixCD,d,AVIE,Mixedwood,
Alpine fir MixCD,m,AVIE,Mixedwood,
Alpine fir MixWet,d,AVIE,TreedSwamp-Fir,
Alpine fir MixWet,m,AVIE,TreedSwamp-Fir,
Alpine fir,d,ABMICutblock,Fir,
Alpine fir,d,AVIE,Fir,
Alpine fir,m,ABMICutblock,Fir,
Alpine fir,m,AVIE,Fir,
Alpine fir,w,AVIE,TreedSwamp-Fir,
Alpine larch MixC,d,AVIE,AlpineLarch,
Alpine larch MixC,m,ABMICutblock,AlpineLarch,
Alpine larch MixC,m,AVIE,AlpineLarch,
Alpine larch,d,AVIE,AlpineLarch,
Alpine larch,m,AVIE,AlpineLarch,
Aspen,Hygric,MTNP,Decid,
Aspen,Mesic,ABMICutblock,Decid,
Aspen,Mesic,MTNP,Decid,
Aspen,mesic-derived,WBNP,Decid,
Aspen,Sub-Mesic,ABMICutblock,Decid,
Aspen,Sub-Mesic,MTNP,Decid,
Aspen,Xeric,MTNP,Decid,
Badlands/Bedrock,dry-derived,GVI,Bare,
Balsam fir leading - conifer,5D,PLVI,Fir,
Balsam fir leading - conifer,7D,PLVI,TreedSwamp-Fir,
Balsam fir leading - mixedwood,5C,PLVI,Mixedwood,
Balsam fir leading - mixedwood,5D,PLVI,Mixedwood,
Balsam fir leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
Balsam fir MixC,d,ABMICutblock,Fir,
Balsam fir MixC,d,AVIE,Fir,
Balsam fir MixC,dry-derived,AVIE,Fir,
Balsam fir MixC,m,ABMICutblock,Fir,
Balsam fir MixC,m,AVIE,Fir,
Balsam fir MixC,mesic-derived,AVIE,Fir,
Balsam fir MixC,w,AVIE,TreedSwamp-Fir,
Balsam fir MixC,w-derived,AVIE,TreedSwamp-Fir,
Balsam fir MixC,wet-derived,AVIE,TreedSwamp-Fir,
Balsam fir MixCD,d,AVIE,Mixedwood,
Balsam fir MixCD,m,ABMICutblock,Mixedwood,
Balsam fir MixCD,m,AVIE,Mixedwood,
Balsam fir MixCD,w,AVIE,TreedSwamp-Mixedwood,
Balsam fir MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
Balsam fir MixDC,m,AVIE,Mixedwood,
Balsam fir MixWet,m,AVIE,TreedSwamp-Fir,
