VEGAGE,VEG,AGE,Broad,Type,VEGAGE_use,AGE_Description,AgeMin,AgeMax,StructuralStage,EC_AGE
Conif0,Conif,0,Forest,Conif,Conif0,Unknown,NA,NA,Unknown,D
ConifR,Conif,R,Forest,Conif,ConifR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Conif1,Conif,1,Forest,Conif,Conif1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Conif2,Conif,2,Forest,Conif,Conif2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Conif3,Conif,3,Forest,Conif,Conif3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Conif4,Conif,4,Forest,Conif,Conif4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C
Conif5,Conif,5,Forest,Conif,Conif5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D
Conif6,Conif,6,Forest,Conif,Conif6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D
Conif7,Conif,7,Forest,Conif,Conif7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D
Conif8,Conif,8,Forest,Conif,Conif8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D
Conif9,Conif,9,Forest,Conif,Conif9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D
Decid0,Decid,0,Forest,Decid,Decid0,Unknown,NA,NA,Unknown,D
DecidR,Decid,R,Forest,Decid,DecidR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Decid1,Decid,1,Forest,Decid,Decid1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Decid2,Decid,2,Forest,Decid,Decid2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Decid3,Decid,3,Forest,Decid,Decid3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Decid4,Decid,4,Forest,Decid,Decid4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D
Decid5,Decid,5,Forest,Decid,Decid5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D
Decid6,Decid,6,Forest,Decid,Decid6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D
Decid7,Decid,7,Forest,Decid,Decid7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D
Decid8,Decid,8,Forest,Decid,Decid8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D
Decid9,Decid,9,Forest,Decid,Decid9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D
Mixwood0,Mixwood,0,Forest,Mixwood,Mixwood0,Unknown,NA,NA,Unknown,D
MixwoodR,Mixwood,R,Forest,Mixwood,MixwoodR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Mixwood1,Mixwood,1,Forest,Mixwood,Mixwood1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Mixwood2,Mixwood,2,Forest,Mixwood,Mixwood2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Mixwood3,Mixwood,3,Forest,Mixwood,Mixwood3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Mixwood4,Mixwood,4,Forest,Mixwood,Mixwood4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D
Mixwood5,Mixwood,5,Forest,Mixwood,Mixwood5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D
Mixwood6,Mixwood,6,Forest,Mixwood,Mixwood6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D
Mixwood7,Mixwood,7,Forest,Mixwood,Mixwood7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D
Mixwood8,Mixwood,8,Forest,Mixwood,Mixwood8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D
Mixwood9,Mixwood,9,Forest,Mixwood,Mixwood9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D
Pine0,Pine,0,Forest,Pine,Pine0,Unknown,NA,NA,Unknown,D
PineR,Pine,R,Forest,Pine,PineR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Pine1,Pine,1,Forest,Pine,Pine1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Pine2,Pine,2,Forest,Pine,Pine2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Pine3,Pine,3,Forest,Pine,Pine3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Pine4,Pine,4,Forest,Pine,Pine4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C
Pine5,Pine,5,Forest,Pine,Pine5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D
Pine6,Pine,6,Forest,Pine,Pine6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D
Pine7,Pine,7,Forest,Pine,Pine7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D
Pine8,Pine,8,Forest,Pine,Pine8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D
Pine9,Pine,9,Forest,Pine,Pine9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D
GrassHerb,GrassHerb,,GrassHerb,GrassHerb,GrassHerb,,,,,
NonVeg,NonVeg,,NonVeg,NonVeg,NonVeg,,,,,
Shrub,Shrub,,Shrub,Shrub,Shrub,,,,,
Water,Water,,Water,Water,Water,,,,,
Swamp-Conif0,Swamp-Conif,0,Swamp,Conif,Conif0,Unknown,NA,NA,Unknown,D
Swamp-ConifR,Swamp-Conif,R,Swamp,Conif,ConifR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Swamp-Conif1,Swamp-Conif,1,Swamp,Conif,Conif1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Swamp-Conif2,Swamp-Conif,2,Swamp,Conif,Conif2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Swamp-Conif3,Swamp-Conif,3,Swamp,Conif,Conif3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Swamp-Conif4,Swamp-Conif,4,Swamp,Conif,Conif4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C
Swamp-Conif5,Swamp-Conif,5,Swamp,Conif,Conif5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D
Swamp-Conif6,Swamp-Conif,6,Swamp,Conif,Conif6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D
Swamp-Conif7,Swamp-Conif,7,Swamp,Conif,Conif7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D
Swamp-Conif8,Swamp-Conif,8,Swamp,Conif,Conif8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D
Swamp-Conif9,Swamp-Conif,9,Swamp,Conif,Conif9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D
Swamp-Decid0,Swamp-Decid,0,Swamp,Decid,Decid0,Unknown,NA,NA,Unknown,D
Swamp-DecidR,Swamp-Decid,R,Swamp,Decid,DecidR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Swamp-Decid1,Swamp-Decid,1,Swamp,Decid,Decid1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Swamp-Decid2,Swamp-Decid,2,Swamp,Decid,Decid2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Swamp-Decid3,Swamp-Decid,3,Swamp,Decid,Decid3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Swamp-Decid4,Swamp-Decid,4,Swamp,Decid,Decid4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D
Swamp-Decid5,Swamp-Decid,5,Swamp,Decid,Decid5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D
Swamp-Decid6,Swamp-Decid,6,Swamp,Decid,Decid6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D
Swamp-Decid7,Swamp-Decid,7,Swamp,Decid,Decid7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D
Swamp-Decid8,Swamp-Decid,8,Swamp,Decid,Decid8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D
Swamp-Decid9,Swamp-Decid,9,Swamp,Decid,Decid9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D
Swamp-Mixwood0,Swamp-Mixwood,0,Swamp,Mixwood,Mixwood0,Unknown,NA,NA,Unknown,D
Swamp-MixwoodR,Swamp-Mixwood,R,Swamp,Mixwood,MixwoodR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R
Swamp-Mixwood1,Swamp-Mixwood,1,Swamp,Mixwood,Mixwood1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A
Swamp-Mixwood2,Swamp-Mixwood,2,Swamp,Mixwood,Mixwood2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B
Swamp-Mixwood3,Swamp-Mixwood,3,Swamp,Mixwood,Mixwood3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C
Swamp-Mixwood4,Swamp-Mixwood,4,Swamp,Mixwood,Mixwood4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D
Swamp-Mixwood5,Swamp-Mixwood,5,Swamp,Mixwood,Mixwood5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D
