vehagehf,sector
Bare,Native
CCDecid1,Forestry
CCDecid2,Forestry
CCDecid3,Forestry
CCDecid4,Forestry
CCDecidR,Forestry
CCMixedwood1,Forestry
CCMixedwood2,Forestry
CCMixedwood3,Forestry
CCMixedwood4,Forestry
CCMixedwoodR,Forestry
CCPine1,Forestry
CCPine2,Forestry
CCPine3,Forestry
CCPine4,Forestry
CCPineR,Forestry
CCSpruce1,Forestry
CCSpruce2,Forestry
CCSpruce3,Forestry
CCSpruce4,Forestry
CCSpruceR,Forestry
CultivationAbandoned,Agriculture
CultivationCrop,Agriculture
CultivationRoughPasture,Agriculture
CultivationTamePasture,Agriculture
Decid1,Native
Decid2,Native
Decid3,Native
Decid4,Native
Decid5,Native
Decid6,Native
Decid7,Native
Decid8,Native
Decid9,Native
DecidR,Native
GraminoidFen,Native
GrassHerb,Native
HighDensityLivestockOperation,Agriculture
IndustrialSiteRural,Industrial
Marsh,Native
MineSite,MineSite
Mixedwood1,Native
Mixedwood2,Native
Mixedwood3,Native
Mixedwood4,Native
Mixedwood5,Native
Mixedwood6,Native
Mixedwood7,Native
Mixedwood8,Native
Mixedwood9,Native
MixedwoodR,Native
PeatMine,Misc
Pine1,Native
Pine2,Native
Pine3,Native
Pine4,Native
Pine5,Native
Pine6,Native
Pine7,Native
Pine8,Native
Pine9,Native
PineR,Native
Pipeline,PipeTransLine
RailHardSurface,RoadRailVerge
RailVegetatedVerge,RoadRailVerge
RoadHardSurface,RoadRailVerge
RoadTrailVegetated,RoadRailVerge
RoadVegetatedVerge,RoadRailVerge
RuralResidentialIndustrial,RuralUrban
SeismicLineNarrow,SeismicLine
SeismicLineWide,SeismicLine
Shrub,Native
ShrubbyBog,Native
ShrubbyFen,Native
ShrubbySwamp,Native
SnowIce,Native
Spruce1,Native
Spruce2,Native
Spruce3,Native
Spruce4,Native
Spruce5,Native
Spruce6,Native
Spruce7,Native
Spruce8,Native
Spruce9,Native
SpruceR,Native
TransmissionLine,PipeTransLine
TreedBog1,Native
TreedBog2,Native
TreedBog3,Native
TreedBog4,Native
TreedBog5,Native
TreedBog6,Native
TreedBog7,Native
TreedBog8,Native
TreedBog9,Native
TreedBogR,Native
TreedFen1,Native
TreedFen2,Native
TreedFen3,Native
TreedFen4,Native
TreedFen5,Native
TreedFen6,Native
TreedFen7,Native
TreedFen8,Native
TreedFen9,Native
TreedFenR,Native
TreedSwamp1,Native
TreedSwamp2,Native
TreedSwamp3,Native
TreedSwamp4,Native
TreedSwamp5,Native
TreedSwamp6,Native
TreedSwamp7,Native
TreedSwamp8,Native
TreedSwamp9,Native
TreedSwampR,Native
UrbanIndustrial,Industrial
UrbanResidence,RuralUrban
WellSite,WellSite
WindGenerationFacility,OtherEnergy
