Species_ID,English_Name,Family_Sci,Singing_birds,Remarks
BAEA,Bald Eagle,Accipitridae,FALSE,Raptors
BWHA,Broad-winged Hawk,Accipitridae,FALSE,Raptors
FEHA,Ferruginous Hawk,Accipitridae,FALSE,Raptors
NOGO,Northern Goshawk,Accipitridae,FALSE,Raptors
NOHA,Northern Harrier,Accipitridae,FALSE,Raptors
RTHA,Red-tailed Hawk,Accipitridae,FALSE,Raptors
SSHA,Sharp-shinned Hawk,Accipitridae,FALSE,Raptors
SWHA,Swainson's Hawk,Accipitridae,FALSE,Raptors
HOLA,Horned Lark,Alaudidae,TRUE,
BEKI,Belted Kingfisher,Alcedinidae,TRUE,
AMWI,American Wigeon,Anatidae,FALSE,Waterfowl
BAGO,Barrow's Goldeneye,Anatidae,FALSE,Waterfowl
BWTE,Blue-winged Teal,Anatidae,FALSE,Waterfowl
BUFF,Bufflehead,Anatidae,FALSE,Waterfowl
CANG,Canada Goose,Anatidae,FALSE,Waterfowl
CANV,Canvasback,Anatidae,FALSE,Waterfowl
CITE,Cinnamon Teal,Anatidae,FALSE,Waterfowl
COGO,Common Goldeneye,Anatidae,FALSE,Waterfowl
COME,Common Merganser,Anatidae,FALSE,Waterfowl
GADW,Gadwall,Anatidae,FALSE,Waterfowl
GRSC,Greater Scaup,Anatidae,FALSE,Waterfowl
GWTE,Green-winged Teal,Anatidae,FALSE,Waterfowl
HOME,Hooded Merganser,Anatidae,FALSE,Waterfowl
LESC,Lesser Scaup,Anatidae,FALSE,Waterfowl
MALL,Mallard,Anatidae,FALSE,Waterfowl
NOPI,Northern Pintail,Anatidae,FALSE,Waterfowl
NSHO,Northern Shoveler,Anatidae,FALSE,Waterfowl
REDH,Redhead,Anatidae,FALSE,Waterfowl
RNDU,Ring-necked Duck,Anatidae,FALSE,Waterfowl
RUDU,Ruddy Duck,Anatidae,FALSE,Waterfowl
SNGO,Snow Goose,Anatidae,FALSE,Waterfowl
TRUS,Trumpeter Swan,Anatidae,FALSE,Waterfowl
TUSW,Tundra Swan,Anatidae,FALSE,Waterfowl
WODU,Wood Duck,Anatidae,FALSE,Waterfowl
AMBI,American Bittern,Ardeidae,FALSE,Shorebirds
GBHE,Great Blue Heron,Ardeidae,FALSE,Shorebirds
BOWA,Bohemian Waxwing,Bombycillidae,TRUE,
CEDW,Cedar Waxwing,Bombycillidae,TRUE,
CCLO,Chestnut-collared Longspur,Calcariidae,TRUE,
MCLO,McCown's Longspur,Calcariidae,TRUE,
SNBU,Snow Bunting,Calcariidae,TRUE,
CONI,Common Nighthawk,Caprimulgidae,FALSE,"Nightjars, nocturnal"
BHGR,Black-headed Grosbeak,Cardinalidae,TRUE,
NOCA,Northern Cardinal,Cardinalidae,TRUE,
RBGR,Rose-breasted Grosbeak,Cardinalidae,TRUE,
WETA,Western Tanager,Cardinalidae,TRUE,
TUVU,Turkey Vulture,Cathartidae,FALSE,Raptors
BRCR,Brown Creeper,Certhiidae,TRUE,
AMGP,American Golden-Plover,Charadriidae,TRUE,
KILL,Killdeer,Charadriidae,TRUE,
SEPL,Semipalmated Plover,Charadriidae,TRUE,
MODO,Mourning Dove,Columbidae,TRUE,
ROPI,Rock Pigeon,Columbidae,TRUE,
AMCR,American Crow,Corvidae,TRUE,
BBMA,Black-billed Magpie,Corvidae,TRUE,
BLJA,Blue Jay,Corvidae,TRUE,
CORA,Common Raven,Corvidae,TRUE,
