SITE_ID,NFI_SITE,NEAREST_TOWN,PROVINCIAL_MUNICIPALS,PUBLIC_LATTITUDE,PUBLIC_LONGITUDE,ELEVATION,PANEL,CENTER_OF_9_PANELS,ECOZONE_,WHITE_GREEN_ZONE,FOREST_MANAGEMENT_AGREEMENTS,LANDUSE_FRAMEWORK,NATIONAL_PARKS,NATURAL_REGIONS,NATURAL_SUBREGIONS,PROVINCIAL_PROTECTED_AREAS,SUSTAINABLE_RESOURCE_DEVELOPME,WATERSHEDS,WPAC
"1","1066826","Fort Chipewyan","Wood Buffalo","59.943127","-110.282402","358.4986877","A","YES","Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"2","1073681","Fort Chipewyan","Wood Buffalo","60.008781","-112.146973","192.2102966","A",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Northern Mixedwood",,"Waterways","Slave",
"3","1073686","Fort Chipewyan","Wood Buffalo","59.94268","-111.849083","213.6961975","A",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Northern Mixedwood",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"4","1073691","Fort Chipewyan","Wood Buffalo","59.919476","-111.43428","229.1246948","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"5","1073696","Fort Chipewyan","Wood Buffalo","59.901665","-111.13752","269.4849854","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"6","1073701","Fort Chipewyan","Wood Buffalo","59.842426","-110.768616","286.8830872","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"7","1073706","Fort Chipewyan","Wood Buffalo","59.820942","-110.375534","319.479187","D",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"8","1073711","Fort Chipewyan","Wood Buffalo","59.741611","-110.100601","347.6223145","D",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"9","1080536","Garden Creek","Wood Buffalo NP","59.955215","-113.968842","298.4352112","B",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"10","1080541","Garden Creek","Wood Buffalo NP","59.94207","-113.609451","279.6818848","E",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"11","1080546","Garden Creek","Wood Buffalo NP","59.913239","-113.317047","272.0152893","E",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"12","1080551","Garden Creek","Wood Buffalo NP","59.862999","-112.947403","252.4909973","E",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"13","1080556","Garden Creek","Wood Buffalo NP","59.869965","-112.579437","260.9541016","A",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"14","1080561","Fort Chipewyan","Wood Buffalo NP","59.796967","-112.230896","243.1399994","A","YES","Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"15","1080566","Fort Chipewyan","Wood Buffalo NP","59.783936","-111.907753","212.6764069","A",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"16","1080571","Fort Chipewyan","Wood Buffalo","59.737675","-111.459206","205.1092072","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"17","1080576","Fort Chipewyan","Wood Buffalo","59.700066","-111.143211","242.4230957","C","YES","Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"18","1080581","Fort Chipewyan","Wood Buffalo","59.662022","-110.840218","304.5657044","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"19","1080586","Fort Chipewyan","Wood Buffalo","59.607685","-110.419456","291.1783142","D","YES","Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands","Colin-Cornwall Lakes Wildland","Waterways","Lower Athabasca","Athabasca Watershed Council"
"20","1080591","Fort Chipewyan","Wood Buffalo","59.61467","-110.124588","284","D",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands","Colin-Cornwall Lakes Wildland","Waterways","Lower Athabasca","Athabasca Watershed Council"
"21","1087381","High Level","Mackenzie","59.987904","-116.416641","302.3664856","C","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"22","1087386","High Level","Mackenzie","59.951607","-116.186333","300.7608948","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"23","1087391","John D'Or Prairie","Mackenzie","59.946854","-115.747154","301.2426148","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"24","1087396","John D'Or Prairie","Wood Buffalo NP","59.92778","-115.457977","309.0994873","D","YES","Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"25","1087401","Garden Creek","Wood Buffalo NP","59.901295","-115.125664","329.2406921","D",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"26","1087406","Garden Creek","Wood Buffalo NP","59.858818","-114.767944","321.362915","B",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"27","1087411","Garden Creek","Wood Buffalo NP","59.844925","-114.422569","317.8918152","B","YES","Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"28","1087416","Garden Creek","Wood Buffalo NP","59.805271","-114.023239","310.8125916","B",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"29","1087421","Garden Creek","Wood Buffalo NP","59.737953","-113.655914","309.7049866","E",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"30","1087426","Garden Creek","Wood Buffalo NP","59.708855","-113.39785","279.1088867","E","YES","Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"31","1087431","Garden Creek","Wood Buffalo NP","59.70166","-113.055641","278.5979919","E",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"32","1087436","Garden Creek","Wood Buffalo NP","59.677498","-112.604416","278.9212036","A",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"33","1087441","Fort Chipewyan","Wood Buffalo NP","59.646675","-112.275978","278.1917114","A",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"34","1087446","Fort Chipewyan","Wood Buffalo NP","59.56572","-111.939857","240.5348969","A",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"35","1087451","Fort Chipewyan","Wood Buffalo NP","59.557568","-111.631203","221.3578033","C",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"36","1087456","Fort Chipewyan","Wood Buffalo","59.510143","-111.286217","243.7978058","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"37","1087461","Fort Chipewyan","Wood Buffalo","59.482281","-110.956512","286.9547119","C",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"38","1087466","Fort Chipewyan","Wood Buffalo","59.464947","-110.522453","303.3309021","D",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
