Nature.Serve,Class,Order,Family,Scientific.Name,Common.Name,ABMI.Code,AOU.Code,TSNID,in.tax.workb,In.Gillians.File,Alberta.Status,Use.In.Guilds,Native.to:S,Native.to:B,Native.to:M,Native.to:F,Native.to:P,Native.to:G,General.Habitat.Category:Forest,General.Habitat.Category:Grassland,General.Habitat.Category:Alpine,General.Habitat.Category:Bog,General.Habitat.Category:WetAq,General.Habitat.Category:Generalist,General.Habitat.Category:Exotic,Forest.Types:Old,Forest.Types:Obligate.Old.Forest,Forest.Types:Burn_BigDeadTrees,Forest.Types:Young,Forest.Types:Interior,Forest.Types:Edge,Forest.Types:Cavity,Wetland.Types:Wet_NestTerrOrWet,Wetland.Types:Aq_NestTerrOrWet,Migratory.Types:NeoMigrants,Migratory.Types:ShortDistance,Migratory.Types:WintResident,CanyonsCliffsRiverBanksAndRockyOutcrops,Riparian,Human.Associated,Irruptive,Engeneers,Carnivore,Game,OfManagementConcern,HighAB.Responsibility
AAAAA01080,Amphibian,CAUDATA,AMBYSTOMATIDAE,Ambystoma macrodactylum,Long-toed Salamander,LTSA,LTSA,173601,FALSE,FALSE,Sensitive,Yes,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,
AAAAA01140,Amphibian,CAUDATA,AMBYSTOMATIDAE,Ambystoma tigrinum,Tiger Salamander,TISA,TISA,173592,TRUE,FALSE,Secure,Yes,,9,9,,1,1,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,
AAABA01010,Amphibian,ANURA,ASCAPHIDAE,Ascaphus truei,Tailed Frog,TAFR,TAFR,173546,FALSE,FALSE,N Edge of Range Undetirmined,Yes,,,9,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,
AAABB01030,Amphibian,ANURA,BUFONIDAE,Bufo boreas,Western Toad,WETO,WETO,173482,TRUE,FALSE,Sensitive,Yes,,1,1,1,1,9,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,1
AAABB01050,Amphibian,ANURA,BUFONIDAE,Bufo cognatus,Great Plains Toad,GPTO,GPTO,173484,FALSE,FALSE,May Be At Risk,Yes,,,,,,1,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,
AAABB01080,Amphibian,ANURA,BUFONIDAE,Bufo hemiophrys,Canadian Toad,CATO,CATO,173487,TRUE,FALSE,May Be At Risk,Yes,1,1,9,9,1,1,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,1
AAABC05070,Amphibian,ANURA,HYLIDAE,Pseudacris triseriata,Boreal Chorus Frog,BCFR,BCFR,173525,TRUE,FALSE,Secure,Yes,1,1,9,1,1,1,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,
AAABF02010,Amphibian,ANURA,PELOBATIDAE,Spea bombifrons,Plains Spadefoot Toad,PLSP,PLSP,206989,FALSE,FALSE,May Be At Risk,Yes,,,,,,1,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,
AAABH01170,Amphibian,ANURA,RANIDAE,Rana pipiens,Northern Leopard Frog,NLFR,NLFR,173443,TRUE,FALSE,At Risk,Yes,,9,,9,1,1,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,
AAABH01200,Amphibian,ANURA,RANIDAE,Rana sylvatica,Wood Frog,WOFR,WOFR,173440,TRUE,FALSE,Secure,Yes,1,1,1,1,1,9,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,
AAABH01290,Amphibian,ANURA,RANIDAE,Rana luteiventris,Columbia Spotted Frog,SPFR,SPFR,550546,FALSE,FALSE,Sensitive,Yes,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,1,
ABNBA01010,Bird,GAVIIFORMES,GAVIIDAE,Gavia stellata,Red-throated Loon,RTLO,RTLO,174474,FALSE,FALSE,Secure,Yes,,9,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,1,,,
