"Value","RelAbund","Difference","Intactness","Richness","Uniqueness"
1,"#4575B4","#C51B7D","#D73027","#6495ED","#010816"
2,"#4878B5","#C51E7E","#D83429","#6098ED","#040F1B"
3,"#4C7CB7","#C62180","#DA392C","#5D9BEE","#081620"
4,"#5080B9","#C72582","#DC3E2E","#5A9EEE","#0B1D25"
5,"#5483BB","#C82884","#DE4231","#57A1EF","#0F242A"
6,"#5887BD","#C92C86","#E04733","#54A5EF","#122B2F"
7,"#5C8BBF","#CA2F88","#E24C36","#51A8F0","#163234"
8,"#5F8FC1","#CB328A","#E45038","#4EABF0","#193939"
9,"#6392C3","#CC368C","#E5553B","#4BAEF1","#1D403E"
10,"#6796C5","#CD398E","#E75A3D","#48B1F1","#204743"
11,"#6B9AC7","#CE3D90","#E95E40","#45B5F2","#244E48"
12,"#6F9EC9","#CE4092","#EB6342","#42B8F3","#28554D"
13,"#73A1CB","#CF4493","#ED6845","#3FBBF3","#2B5C52"
14,"#76A5CD","#D04795","#EF6D47","#3CBEF4","#2F6357"
15,"#7AA9CF","#D14A97","#F1714A","#39C1F4","#326A5C"
16,"#7EADD1","#D24E99","#F3764C","#36C5F5","#367261"
17,"#82B0D3","#D3519B","#F47B4F","#33C8F5","#397966"
18,"#86B4D5","#D4559D","#F67F51","#30CBF6","#3D806B"
19,"#8AB8D7","#D5589F","#F88454","#2DCEF6","#418770"
20,"#8DBCD9","#D65BA1","#FA8956","#2AD2F7","#448E75"
21,"#91BFDB","#D75FA3","#FC8D59","#27D5F7","#48957B"
22,"#95C2DC","#D762A5","#FC925C","#24D8F8","#4B9C80"
23,"#99C4DE","#D866A7","#FC965F","#21DBF9","#4FA385"
24,"#9DC7DF","#D969A8","#FC9A61","#1EDEF9","#52AA8A"
25,"#A1CAE1","#DA6DAA","#FC9E64","#1BE2FA","#56B18F"
26,"#A5CCE2","#DB70AC","#FCA267","#18E5FA","#59B791"
27,"#A9CFE4","#DC73AE","#FCA66A","#15E8FB","#5AB78B"
28,"#ADD1E5","#DD77B0","#FCAB6D","#12EBFB","#5BB886"
29,"#B1D4E7","#DE7AB2","#FCAF6F","#0FEEFC","#5CB980"
30,"#B5D7E8","#DF7EB4","#FCB372","#0CF2FC","#5DB97A"
31,"#B9D9E9","#E081B6","#FDB775","#09F5FD","#5EBA75"
32,"#BDDCEB","#E184B8","#FDBB78","#06F8FD","#5FBB6F"
33,"#C1DFEC","#E188BA","#FDC07A","#03FBFE","#60BB69"
34,"#C5E1EE","#E28BBC","#FDC47D","#00FFFE","#61BC64"
