common,show,order,family,v2018,v2020,remarks
Alder Flycatcher,c,Passeriformes,Tyrannidae,N+S,N+S,
American Avocet,u,Charadriiformes,Recurvirostridae,,N+S,Aquatic dependent species
American Bittern,u,Pelecaniformes,Ardeidae,N+S,N+S,Aquatic dependent species
American Coot,u,Gruiformes,Rallidae,,N+S,Aquatic dependent species
American Crow,c,Passeriformes,Corvidae,N+S,N+S,
American Goldfinch,c,Passeriformes,Fringillidae,N+S,N+S,
American Kestrel,u,Falconiformes,Falconidae,,N+S,Raptor species with large
American Pipit,o,Passeriformes,Motacillidae,,N,Sample size requirement f
American Redstart,n,Passeriformes,Parulidae,N+S,N+S,
American Robin,c,Passeriformes,Turdidae,N+S,N+S,
American Three-toed Woodpecker,n,Piciformes,Picidae,N,N,
American Tree Sparrow,o,Passeriformes,Emberizidae,,N+S,Sample size requirement f
American Wigeon,u,Anseriformes,Anatidae,,N+S,Aquatic dependent species
Bachman's Warbler,o,Passeriformes,Parulidae,,,
Baird's Sparrow,s,Passeriformes,Emberizidae,S,N+S,
Bald Eagle,u,Accipitriformes,Accipitridae,,N,Raptor species with large
Baltimore Oriole,c,Passeriformes,Icteridae,N+S,N+S,
Bank Swallow,s,Passeriformes,Hirundinidae,S,N+S,
Barn Swallow,c,Passeriformes,Hirundinidae,N+S,N+S,
Barred Owl,u,Strigiformes,Strigidae,,N,Owls and other nocturnal 
Bay-breasted Warbler,n,Passeriformes,Parulidae,N,N+S,
Belted Kingfisher,u,Coraciiformes,Alcedinidae,,N,Sample size requirement f
Black Tern,u,Charadriiformes,Laridae,,N+S,Aquatic dependent species
Black-and-white Warbler,n,Passeriformes,Parulidae,N,N+S,
Black-backed Woodpecker,n,Piciformes,Picidae,N,N,
Black-bellied Plover,o,Charadriiformes,Charadriidae,,,
Black-billed Cuckoo,u,Cuculiformes,Cuculidae,,,
Black-billed Magpie,c,Passeriformes,Corvidae,N+S,N+S,
Black-capped Chickadee,n,Passeriformes,Paridae,N+S,N+S,
Black-crowned Night-Heron,u,Pelecaniformes,Ardeidae,,S,Aquatic dependent species
Black-headed Grosbeak,u,Passeriformes,Cardinalidae,,N,Sample size requirement f
Black-necked Stilt,o,Charadriiformes,Recurvirostridae,,S,Aquatic dependent species
Black-throated Blue Warbler,o,Passeriformes,Parulidae,,,
Black-throated Green Warbler,n,Passeriformes,Parulidae,N,N+S,
