SheetName,SheetDescription,FieldName,FieldDescription
Info,Info about the file,group,Taxonomic group
Info,Info about the file,version,Version of the update
Info,Info about the file,yr_first,Firs survey year for the group
Info,Info about the file,yr_last,Latest survey year for the group
Info,Info about the file,method,Field method
Info,Info about the file,hf,Human footprint version used for summaries
Info,Info about the file,veg,Vegetation layer version used for summaries
Info,Info about the file,model,Statistical model
Info,Info about the file,species,Number of species with models
Species,Lookup table for species,SpeciesID,Unique ID for species
Species,Lookup table for species,ScientificName,Scientific name of species
Species,Lookup table for species,CommonName,Common name
Species,Lookup table for species,TSNID,Taxonomic serial number
Species,Lookup table for species,Group,Taxonomic group
Species,Lookup table for species,det,Detection map available
Species,Lookup table for species,useavailnorth,If only basic summaries for northern Alberta are available
Species,Lookup table for species,useavailsouth,If only basic summaries for southern Alberta are available
Species,Lookup table for species,coefnorth,If model based results for northern Alberta are available
Species,Lookup table for species,coefsouth,If model based results for southern Alberta are available
Species,Lookup table for species,map,If predictive map is available
Species,Lookup table for species,sectornorth,If sector effects in the north are available
Species,Lookup table for species,sectorsouth,If sector effects in the south are available
Species,Lookup table for species,Occurrences,Number of occurrences (multiple subsamples per site)
Species,Lookup table for species,nSites,Number of sites with occurrences
Species,Lookup table for species,Nonnative,Non-native status indicator
Species,Lookup table for species,LinkHabitat,Link function for statistical model describing habitat associations
Species,Lookup table for species,LinkSpclim,Link function for statistical model describing spatial/climate relationships
Species,Lookup table for species,AUCNorth,Area under the ROC curve for northern Alberta models including habitat and space/climate variables
Species,Lookup table for species,AUCSouth,Area under the ROC curve for southern Alberta models including habitat and space/climate variables
Species,Lookup table for species,Comments,Comments
UseavailNorth,Use-availability summaries for species in northern Alberta,SpeciesID,Unique ID for species
UseavailNorth,Use-availability summaries for species in northern Alberta,ScientificName,Scientific name of species
UseavailNorth,Use-availability summaries for species in northern Alberta,CommonName,Common name
UseavailNorth,Use-availability summaries for species in northern Alberta,TSNID,Taxonomic serial number
UseavailNorth,Use-availability summaries for species in northern Alberta,Group,Taxonomic group
UseavailNorth,Use-availability summaries for species in northern Alberta,Decid,Deciduous dominated forest
UseavailNorth,Use-availability summaries for species in northern Alberta,Mixedwood,Mixedwood dominated forest
UseavailNorth,Use-availability summaries for species in northern Alberta,Pine,Pine dominated forest
UseavailNorth,Use-availability summaries for species in northern Alberta,Spruce,White Spruce dominated forest
UseavailNorth,Use-availability summaries for species in northern Alberta,TreedBogFen,Treed bog and fen
UseavailNorth,Use-availability summaries for species in northern Alberta,Swamp,Swamp
UseavailNorth,Use-availability summaries for species in northern Alberta,GrassHerb,Grass/herb
UseavailNorth,Use-availability summaries for species in northern Alberta,Shrub,Shrub
UseavailNorth,Use-availability summaries for species in northern Alberta,NonTreedBogFen,Nontreed bog and fen
UseavailNorth,Use-availability summaries for species in northern Alberta,Marsh,Marsh
UseavailNorth,Use-availability summaries for species in northern Alberta,Crop,Crop
UseavailNorth,Use-availability summaries for species in northern Alberta,RoughP,Tame pasture
UseavailNorth,Use-availability summaries for species in northern Alberta,TameP,Rough pasture
UseavailNorth,Use-availability summaries for species in northern Alberta,UrbInd,Urban/Industrial human footprint
UseavailNorth,Use-availability summaries for species in northern Alberta,SoftLin,"Soft linear human footprint features (seismic lines, pipelines, power lines, road verges)"
UseavailNorth,Use-availability summaries for species in northern Alberta,HardLin,Hard linear human footprint features (road and rails)
UseavailNorth,Use-availability summaries for species in northern Alberta,Forestry,Forest altered by forest harvest
UseavailSouth,Use-availability summaries for species in northern Alberta,SpeciesID,Unique ID for species
UseavailSouth,Use-availability summaries for species in northern Alberta,ScientificName,Scientific name of species
UseavailSouth,Use-availability summaries for species in northern Alberta,CommonName,Common name
UseavailSouth,Use-availability summaries for species in northern Alberta,TSNID,Taxonomic serial number
UseavailSouth,Use-availability summaries for species in northern Alberta,Group,Taxonomic group
UseavailSouth,Use-availability summaries for species in northern Alberta,ClayLoamSand,"Clay, loamy, sady"
UseavailSouth,Use-availability summaries for species in northern Alberta,RapidDrain,Rapid drain
UseavailSouth,Use-availability summaries for species in northern Alberta,Blowout,Blowout
UseavailSouth,Use-availability summaries for species in northern Alberta,ThinBreak,Thin breaks
UseavailSouth,Use-availability summaries for species in northern Alberta,Other,Other
UseavailSouth,Use-availability summaries for species in northern Alberta,Crop,Crop
UseavailSouth,Use-availability summaries for species in northern Alberta,RoughP,Tame pasture
UseavailSouth,Use-availability summaries for species in northern Alberta,TameP,Rough pasture
