ABMI,General_Source
1,Phase1
2,WBNP
3,WBNP
4,Phase1
5,Phase1
6,Phase1
7,Phase1
8,Phase1
9,WBNP
10,WBNP
11,WBNP
12,WBNP
13,WBNP
14,WBNP
15,WBNP
16,WBNP
17,WBNP
18,Phase1
19,Phase1
20,Phase1
21,Phase1
22,Phase1
23,WBNP
24,WBNP
25,WBNP
26,WBNP
27,WBNP
28,WBNP
29,WBNP
30,WBNP
31,WBNP
32,WBNP
33,WBNP
34,WBNP
35,WBNP
36,WBNP
37,Phase1
38,Phase1
39,Phase1
40,Phase1
41,Phase1
42,Phase1
43,Phase1
44,Phase1
45,Phase1
46,Phase1
47,AVIE
48,Phase1
49,Phase1
50,Phase1
51,WBNP
52,WBNP
53,WBNP
54,WBNP
55,WBNP
56,WBNP
57,WBNP
58,WBNP
59,WBNP
60,WBNP
61,WBNP
62,WBNP
63,WBNP
64,WBNP
65,Phase1
66,Phase1
67,Phase1
68,Phase1
69,Phase1
70,Phase1
71,Phase1
72,Phase1
73,Phase1
74,AVIE
75,AVIE
76,AVIE
77,Phase1
78,Phase1
79,WBNP
80,WBNP
81,WBNP
82,WBNP
83,WBNP
84,WBNP
85,WBNP
86,WBNP
87,WBNP
88,WBNP
89,WBNP
90,WBNP
91,WBNP
92,WBNP
93,WBNP
94,Phase1
95,Phase1
96,Phase1
97,Phase1
98,Phase1
99,Phase1
100,Phase1
101,AVIE
102,AVIE
103,AVIE
104,AVIE
105,AVIE
106,Phase1
107,Phase1
108,WBNP
109,WBNP
110,WBNP
111,WBNP
112,WBNP
113,WBNP
114,WBNP
115,WBNP
116,WBNP
117,WBNP
118,WBNP
119,WBNP
120,WBNP
121,WBNP
122,WBNP
123,Phase1
124,Phase1
125,Phase1
126,Phase1
127,Phase1
128,Phase1
129,Phase1
130,AVIE
131,AVIE
132,AVIE
133,AVIE
134,AVIE
135,AVIE
136,Phase1
137,Phase1
138,WBNP
139,WBNP
140,WBNP
141,WBNP
142,WBNP
143,WBNP
144,WBNP
145,WBNP
146,WBNP
147,WBNP
148,WBNP
149,WBNP
150,WBNP
151,WBNP
152,Phase1
153,Phase1
154,Phase1
155,Phase1
156,Phase1
157,AVIE
158,AVIE
159,AVIE
160,AVIE
161,AVIE
162,AVIE
163,AVIE
164,AVIE
165,Phase1
166,Phase1
167,WBNP
168,WBNP
169,AVIE
170,WBNP
171,AVIE
172,WBNP
173,WBNP
174,WBNP
175,WBNP
176,WBNP
177,WBNP
178,WBNP
179,WBNP
180,WBNP
181,Phase1
182,Phase1
183,Phase1
184,AVIE
185,AVIE
186,AVIE
187,AVIE
188,AVIE
189,AVIE
190,AVIE
191,AVIE
192,AVIE
193,AVIE
194,AVIE
195,AVIE
196,AVIE
197,AVIE
198,AVIE
199,AVIE
200,AVIE
201,AVIE
202,WBNP
203,WBNP
204,WBNP
205,WBNP
206,WBNP
207,WBNP
208,WBNP
209,WBNP
210,WBNP
211,Phase1
212,Phase1
213,Phase1
214,AVIE
215,AVIE
216,AVIE
217,AVIE
218,AVIE
219,AVIE
220,AVIE
221,AVIE
222,AVIE
223,AVIE
224,AVIE
225,AVIE
226,AVIE
227,AVIE
228,AVIE
229,AVIE
230,AVIE
231,AVIE
232,WBNP
233,WBNP
234,WBNP
235,WBNP
236,WBNP
237,WBNP
238,WBNP
239,WBNP
240,WBNP
241,Phase1
242,Phase1
243,Phase1
244,AVIE
245,AVIE
246,AVIE
247,AVIE
248,AVIE
249,AVIE
250,AVIE
251,AVIE
252,AVIE
253,AVIE
254,AVIE
255,AVIE
256,AVIE
257,AVIE
258,AVIE
259,AVIE
260,AVIE
261,AVIE
262,WBNP
263,WBNP
264,WBNP
265,WBNP
266,WBNP
267,WBNP
268,WBNP
269,WBNP
270,WBNP
271,Phase1
272,Phase1
273,Phase1
274,AVIE
275,AVIE
276,AVIE
277,AVIE
278,AVIE
279,AVIE
280,AVIE
281,AVIE
282,AVIE
283,AVIE
284,AVIE
285,AVIE
286,AVIE
287,AVIE
288,AVIE
289,AVIE
290,AVIE
291,AVIE
292,WBNP
293,WBNP
294,WBNP
295,WBNP
296,WBNP
297,AVIE
298,AVIE
299,PLVI
300,PLVI
301,PLVI
302,PLVI
303,PLVI
304,AVIE
305,AVIE
306,AVIE
307,AVIE
308,AVIE
309,AVIE
310,AVIE
311,AVIE
312,AVIE
313,AVIE
314,AVIE
315,AVIE
316,AVIE
317,AVIE
318,AVIE
319,AVIE
320,AVIE
321,Phase1
322,Phase1
323,Phase1
324,Phase1
325,PLVI
326,PLVI
327,AVIE
328,AVIE
329,AVIE
330,AVIE
331,AVIE
332,Phase1
333,AVIE
334,AVIE
335,AVIE
336,AVIE
337,AVIE
338,AVIE
339,Phase1
340,Phase1
341,AVIE
342,AVIE
343,AVIE
344,AVIE
345,AVIE
346,AVIE
347,AVIE
348,AVIE
349,AVIE
350,Phase1
351,Phase1
352,Phase1
353,Phase1
354,Phase1
355,AVIE
356,AVIE
357,AVIE
358,AVIE
359,AVIE
360,Phase1
361,Phase1
362,Phase1
363,Phase1
364,Phase1
365,AVIE
366,AVIE
367,AVIE
368,AVIE
369,Phase1
370,Phase1
371,Phase1
372,AVIE
373,AVIE
374,AVIE
375,AVIE
376,AVIE
377,AVIE
378,AVIE
379,AVIE
380,AVIE
381,Phase1
382,Phase1
383,Phase1
384,Phase1
385,AVIE
386,AVIE
387,AVIE
388,AVIE
389,AVIE
390,AVIE
391,AVIE
392,Phase1
393,Phase1
394,Phase1
395,AVIE
396,AVIE
397,AVIE
398,AVIE
399,AVIE
400,AVIE
401,AVIE
402,AVIE
403,AVIE
404,AVIE
405,AVIE
406,AVIE
407,AVIE
408,AVIE
409,AVIE
410,AVIE
411,Phase1
412,AVIE
413,AVIE
414,AVIE
415,AVIE
416,AVIE
417,AVIE
418,AVIE
419,AVIE
420,Phase1
421,Phase1
422,AVIE
423,Phase1
424,Phase1
425,AVIE
426,AVIE
427,AVIE
428,AVIE
429,AVIE
430,AVIE
431,AVIE
432,AVIE
433,AVIE
434,AVIE
435,AVIE
436,AVIE
437,AVIE
438,AVIE
439,AVIE
440,AVIE
441,AVIE
442,AVIE
443,AVIE
444,AVIE
445,AVIE
446,AVIE
447,AVIE
448,AVIE
449,AVIE
450,Phase1
451,Phase1
452,AVIE
453,Phase1
454,Phase1
455,AVIE
456,AVIE
457,AVIE
458,AVIE
459,AVIE
460,AVIE
461,AVIE
462,AVIE
463,AVIE
464,AVIE
465,AVIE
466,AVIE
467,AVIE
468,AVIE
469,AVIE
470,AVIE
471,AVIE
472,AVIE
473,AVIE
474,AVIE
475,AVIE
476,AVIE
477,AVIE
478,AVIE
479,AVIE
480,AVIE
481,AVIE
482,AVIE
483,AVIE
484,AVIE
485,Phase1
486,AVIE
487,AVIE
488,AVIE
489,AVIE
490,AVIE
491,Phase1
492,AVIE
493,AVIE
494,AVIE
495,AVIE
496,AVIE
497,AVIE
498,AVIE
499,AVIE
500,AVIE
501,AVIE
502,AVIE
503,AVIE
504,AVIE
505,AVIE
506,AVIE
507,AVIE
508,AVIE
509,AVIE
510,AVIE
511,AVIE
512,AVIE
513,AVIE
514,AVIE
515,AVIE
516,Phase1
517,AVIE
518,AVIE
519,AVIE
520,AVIE
521,AVIE
522,AVIE
523,AVIE
524,AVIE
525,AVIE
526,AVIE
527,AVIE
528,AVIE
529,AVIE
530,AVIE
531,AVIE
532,AVIE
533,AVIE
534,AVIE
535,AVIE
536,AVIE
537,AVIE
538,AVIE
539,AVIE
540,AVIE
541,AVIE
542,AVIE
543,AVIE
544,AVIE
545,AVIE
546,AVIE
547,AVIE
548,AVIE
549,AVIE
550,AVIE
551,AVIE
552,AVIE
553,AVIE
554,AVIE
555,AVIE
556,AVIE
557,AVIE
558,AVIE
559,AVIE
560,AVIE
561,AVIE
562,AVIE
563,AVIE
564,AVIE
565,AVIE
566,AVIE
567,AVIE
568,AVIE
569,AVIE
570,AVIE
571,AVIE
572,AVIE
573,AVIE
574,AVIE
575,AVIE
576,AVIE
577,AVIE
578,AVIE
579,AVIE
580,AVIE
581,AVIE
582,AVIE
583,AVIE
584,AVIE
585,Phase1
586,AVIE
587,AVIE
588,AVIE
589,AVIE
590,AVIE
591,AVIE
592,AVIE
593,AVIE
594,AVIE
595,AVIE
596,AVIE
597,AVIE
598,AVIE
599,AVIE
600,AVIE
601,AVIE
602,AVIE
603,AVIE
604,AVIE
605,AVIE
606,AVIE
607,AVIE
608,AVIE
609,AVIE
610,AVIE
611,Phase1
612,Phase1
613,AVIE
614,AVIE
615,AVIE
616,AVIE
617,Phase1
618,AVIE
619,AVIE
620,AVIE
621,AVIE
622,AVIE
623,AVIE
624,AVIE
625,AVIE
626,AVIE
627,AVIE
628,AVIE
629,AVIE
630,AVIE
631,AVIE
632,AVIE
633,AVIE
634,AVIE
635,AVIE
636,AVIE
