Out,In
Species,Species
WhiteSpruce0,WhiteSpruceR
WhiteSpruce0.LCL,WhiteSpruceR.LCI
WhiteSpruce0.UCL,WhiteSpruceR.UCI
WhiteSpruce10,WhiteSpruce1
WhiteSpruce10.LCL,WhiteSpruce1.LCI
WhiteSpruce10.UCL,WhiteSpruce1.UCI
WhiteSpruce20,WhiteSpruce2
WhiteSpruce20.LCL,WhiteSpruce2.LCI
WhiteSpruce20.UCL,WhiteSpruce2.UCI
WhiteSpruce40,WhiteSpruce3
WhiteSpruce40.LCL,WhiteSpruce3.LCI
WhiteSpruce40.UCL,WhiteSpruce3.UCI
WhiteSpruce60,WhiteSpruce4
WhiteSpruce60.LCL,WhiteSpruce4.LCI
WhiteSpruce60.UCL,WhiteSpruce4.UCI
WhiteSpruce80,WhiteSpruce5
WhiteSpruce80.LCL,WhiteSpruce5.LCI
WhiteSpruce80.UCL,WhiteSpruce5.UCI
WhiteSpruce100,WhiteSpruce6
WhiteSpruce100.LCL,WhiteSpruce6.LCI
WhiteSpruce100.UCL,WhiteSpruce6.UCI
WhiteSpruce120,WhiteSpruce7
WhiteSpruce120.LCL,WhiteSpruce7.LCI
WhiteSpruce120.UCL,WhiteSpruce7.UCI
WhiteSpruce140,WhiteSpruce8
WhiteSpruce140.LCL,WhiteSpruce8.LCI
WhiteSpruce140.UCL,WhiteSpruce8.UCI
Pine0,PineR
Pine0.LCL,PineR.LCI
Pine0.UCL,PineR.UCI
Pine10,Pine1
Pine10.LCL,Pine1.LCI
Pine10.UCL,Pine1.UCI
Pine20,Pine2
Pine20.LCL,Pine2.LCI
Pine20.UCL,Pine2.UCI
Pine40,Pine3
Pine40.LCL,Pine3.LCI
Pine40.UCL,Pine3.UCI
Pine60,Pine4
Pine60.LCL,Pine4.LCI
Pine60.UCL,Pine4.UCI
Pine80,Pine5
Pine80.LCL,Pine5.LCI
Pine80.UCL,Pine5.UCI
Pine100,Pine6
Pine100.LCL,Pine6.LCI
Pine100.UCL,Pine6.UCI
Pine120,Pine7
Pine120.LCL,Pine7.LCI
Pine120.UCL,Pine7.UCI
Pine140,Pine8
Pine140.LCL,Pine8.LCI
Pine140.UCL,Pine8.UCI
Deciduous0,DeciduousR
Deciduous0.LCL,DeciduousR.LCI
Deciduous0.UCL,DeciduousR.UCI
Deciduous10,Deciduous1
Deciduous10.LCL,Deciduous1.LCI
Deciduous10.UCL,Deciduous1.UCI
Deciduous20,Deciduous2
Deciduous20.LCL,Deciduous2.LCI
Deciduous20.UCL,Deciduous2.UCI
Deciduous40,Deciduous3
Deciduous40.LCL,Deciduous3.LCI
Deciduous40.UCL,Deciduous3.UCI
Deciduous60,Deciduous4
Deciduous60.LCL,Deciduous4.LCI
Deciduous60.UCL,Deciduous4.UCI
Deciduous80,Deciduous5
Deciduous80.LCL,Deciduous5.LCI
Deciduous80.UCL,Deciduous5.UCI
Deciduous100,Deciduous6
Deciduous100.LCL,Deciduous6.LCI
Deciduous100.UCL,Deciduous6.UCI
Deciduous120,Deciduous7
Deciduous120.LCL,Deciduous7.LCI
Deciduous120.UCL,Deciduous7.UCI
Deciduous140,Deciduous8
Deciduous140.LCL,Deciduous8.LCI
Deciduous140.UCL,Deciduous8.UCI
Mixedwood0,MixedwoodR
Mixedwood0.LCL,MixedwoodR.LCI
Mixedwood0.UCL,MixedwoodR.UCI
Mixedwood10,Mixedwood1
Mixedwood10.LCL,Mixedwood1.LCI
Mixedwood10.UCL,Mixedwood1.UCI
Mixedwood20,Mixedwood2
Mixedwood20.LCL,Mixedwood2.LCI
Mixedwood20.UCL,Mixedwood2.UCI
Mixedwood40,Mixedwood3
Mixedwood40.LCL,Mixedwood3.LCI
Mixedwood40.UCL,Mixedwood3.UCI
Mixedwood60,Mixedwood4
Mixedwood60.LCL,Mixedwood4.LCI
Mixedwood60.UCL,Mixedwood4.UCI
Mixedwood80,Mixedwood5
